MO_1008-Tumor_Dura,,,,,,,,,,,
CRPC,,,,,,,,,,,
bone,,,,,,,,,,,
,,,,,,,,,,,
,ADCK5,8q24.3,AMP,12.40%,,,,,,,
,ADCY8,8q24,AMP,8.80%,,,,,,,
,ADIRF,10q23.2,HOMDEL,1.80%,,,,,,,
,ADO,10q21.3,AMP,5.90%,,,,,,,
,AGAP11,10q23.2,HOMDEL,2.40%,,,,,,,
,AGO2,8q24,AMP,11.20%,,,,,,,
,AMER1,Xq11.2,AMP,10.00%,,,,,,,
,ANK3,10q21,AMP,5.90%,,,,,,,
,ANKRD20A9P,13q11,AMP,23.50%,,,,,,,
,ANKRD26P3,13q12.11,AMP,23.50%,,,,,,,
,ANXA13,8q24.13,AMP,11.20%,,,,,,,
,APOBR,16p11,HOMDEL,0.60%,,,,,,,
,AR,Xq12,AMP,25.90%,,,,,,,
,ARC,8q24.3,AMP,13.50%,,,,,,,
,ARFGEF1,8q13,AMP,11.20%,,,,,,,
,ARHGAP39,8q24.3,AMP,12.40%,,,,,,,
,ARHGEF9,Xq11.1,AMP,9.40%,,,,,,,
,ARID5B,10q21.2,AMP,5.90%,,,,,,,
,ASAP1,8q24.1-q24.2,AMP,8.80%,,,,,,,
,ASAP1-IT1,8q24.21,AMP,8.80%,,,,,,,
,ASB12,Xq11.2,AMP,10.00%,,,,,,,
,BAI1,8q24.3,AMP,13.50%,,,,,,,
,BMPR1A,10q22.3,HOMDEL,1.80%,,,,,,,
,BOP1,8q24.3,AMP,12.40%,,,,,,,
,BREA2,8q24.3,AMP,13.50%,,,,,,,
,C10ORF107,10q21.2,AMP,5.90%,,,,,,,
,C10ORF11,10q22.3,AMP,5.30%,,,,,,,
,C10ORF40,10q21.2,AMP,5.90%,,,,,,,
,C10ORF99,10q23.1,AMP,1.80%,,,,,,,
,C6ORF147,6q13,HOMDEL,1.80%,,,,,,,
,C8ORF31,8q24.3,AMP,12.40%,,,,,,,
,C8ORF33,8q24.3,AMP,12.40%,,,,,,,
,C8ORF34,8q13,AMP,10.60%,,,,,,,
,C8ORF82,8q24,AMP,12.40%,,,,,,,
,CCDC101,16p11.2,HOMDEL,0.60%,,,,,,,
,CCDC166,8q24.3,AMP,13.50%,,,,,,,
,CCDC6,10q21,AMP,5.90%,,,,,,,
,CDHR1,10q23.1,AMP,1.80%,,,,,,,
,CDK1,10q21.1,AMP,6.50%,,,,,,,
,CHRAC1,8q24.3,AMP,11.20%,,,,,,,
,CLN3,16p12.1,HOMDEL,0.60%,,,,,,,
,COL22A1,8q24.3,AMP,10.00%,,,,,,,
,COMMD5,8q24.3,AMP,12.40%,,,,,,,
,CPA6,8q13.2,AMP,11.20%,,,,,,,
,CPSF1,8q24.23,AMP,12.40%,,,,,,,
,CYC1,8q24.3,AMP,13.50%,,,,,,,
,CYHR1,8q24.3,AMP,12.40%,,,,,,,
,CYP11B1,8q21,AMP,13.50%,,,,,,,
,CYP11B2,8q21-q22,AMP,12.90%,,,,,,,
,DDX43,6q13,HOMDEL,1.80%,,,,,,,
,DENND3,8q24.3,AMP,13.50%,,,,,,,
,DGAT1,8q24.3,AMP,12.40%,,,,,,,
,DLG5,10q23,AMP,4.70%,,,,,,,
,DPPA5,6q13,HOMDEL,1.80%,,,,,,,
,EDA2R,Xq12,AMP,24.70%,,,,,,,
,EEF1A1,6q14.1,HOMDEL,2.40%,,,,,,,
,EEF1D,8q24.3,AMP,14.10%,,,,,,,
,EFNB1,Xq12,AMP,16.50%,,,,,,,
,EFR3A,8q24.22,AMP,10.60%,,,,,,,
,EGR2,10q21.1,AMP,5.90%,,,,,,,
,EPPK1,8q24.3,AMP,14.10%,,,,,,,
,EXOSC4,8q24.3,AMP,13.50%,,,,,,,
,EYA1,8q13.3,AMP,11.80%,,,,,,,
,FAM135B,8q24.23,AMP,9.40%,,,,,,,
,FAM13C,10q21.1,AMP,4.70%,,,,,,,
,FAM203A,8q24.3,AMP,12.40%,,,,,,,
,FAM25A,10q23.2,HOMDEL,2.40%,,,,,,,
,FAM49B,8q24.21,AMP,7.60%,,,,,,,
,FAM83H,8q24.3,AMP,13.50%,,,,,,,
,FAM84B,8q24.21,AMP,11.80%,,,,,,,
,FAM91A1,8q24.13,AMP,10.60%,,,,,,,
,FBXL6,8q24.3,AMP,12.40%,,,,,,,
,FER1L6,8q24.1,AMP,10.60%,,,,,,,
,FER1L6-AS1,8q24.13,AMP,10.60%,,,,,,,
,FOLH1,11p11.2,AMP,7.10%,,,,,,,
,FOXH1,8q24.3,AMP,12.40%,,,,,,,
,FRMD8P1,Xq12,AMP,15.90%,,,,,,,
,GDAP1,8q21.11,AMP,12.40%,,,,,,,
,GHITM,10q23.1,AMP,1.80%,,,,,,,
,GLI4,8q24.3,AMP,11.80%,,,,,,,
,GLUD1,10q23.3,HOMDEL,2.40%,,,,,,,
,GML,8q24.3,AMP,13.50%,,,,,,,
,GPAA1,8q24.3,AMP,13.50%,,,,,,,
,GPIHBP1,8q24.3,AMP,11.80%,,,,,,,
,GPR20,8q24.3,AMP,14.70%,,,,,,,
,GPT,8q24.3,AMP,12.40%,,,,,,,
,GRINA,8q24.3,AMP,14.10%,,,,,,,
,GSDMC,8q24.21,AMP,8.20%,,,,,,,
,GSDMD,8q24.3,AMP,14.10%,,,,,,,
,HEPH,Xq11-q12,AMP,19.40%,,,,,,,
,HHLA1,8q24,AMP,10.60%,,,,,,,
,HPYR1,8q24.22,AMP,10.60%,,,,,,,
,HSF1,8q24.3,AMP,12.40%,,,,,,,
,IL27,16p11,HOMDEL,0.60%,,,,,,,
,JMJD1C,10q21.3,AMP,5.90%,,,,,,,
,JPH1,8q21,AMP,12.40%,,,,,,,
,JRK,8q24.3,AMP,13.50%,,,,,,,
,KCNB2,8q13.2,AMP,14.10%,,,,,,,
,KCNK9,8q24.3,AMP,11.20%,,,,,,,
,KCNMA1,10q22.3,AMP,3.50%,,,,,,,
,KCNQ3,8q24,AMP,10.00%,,,,,,,
,KHDC1,6q13,HOMDEL,1.80%,,,,,,,
,KHDC1L,6q13,HOMDEL,1.80%,,,,,,,
,KHDC3L,6q13,HOMDEL,1.80%,,,,,,,
,KIAA0196,8q24.13,AMP,10.60%,,,,,,,
,KIAA1875,8q24.3,AMP,12.40%,,,,,,,
,KIFC2,8q24.3,AMP,12.40%,,,,,,,
,LACTB2,8q13.3,AMP,10.60%,,,,,,,
,LAS1L,Xq12,AMP,14.70%,,,,,,,
,LDB3,10q22.3-q23.2,HOMDEL,1.20%,,,,,,,
,LINC00051,8q24.3,AMP,14.70%,,,,,,,
,LINC00421,13q12.11,AMP,23.50%,,,,,,,
,LINC00442,13q12.11,AMP,23.50%,,,,,,,
,LOC100130301,8q21.11,AMP,14.70%,,,,,,,
,LOC100132891,8q13.3,AMP,14.10%,,,,,,,
,LOC100133669,8q24.3,AMP,12.90%,,,,,,,
,LOC100288181,8q24.3,AMP,13.50%,,,,,,,
,LOC100505718,,AMP,11.20%,,,,,,,
,LOC286189,8q13.1,AMP,10.00%,,,,,,,
,LOC286190,8q13.2,AMP,10.60%,,,,,,,
,LOC392232,8q13.3,AMP,14.70%,,,,,,,
,LOC440040,11p11.12,AMP,6.50%,,,,,,,
,LOC731779,8q24.3,AMP,14.70%,,,,,,,
,LRIT1,10q23,AMP,1.80%,,,,,,,
,LRIT2,10q23.1,AMP,1.80%,,,,,,,
,LRRC14,8q24.3,AMP,12.40%,,,,,,,
,LRRC24,8q24.3,AMP,12.40%,,,,,,,
,LRRC6,8q24.22,AMP,10.60%,,,,,,,
,LY6D,8q24,AMP,13.50%,,,,,,,
,LY6E,8q24.3,AMP,12.90%,,,,,,,
,LY6H,8q24.3,AMP,11.80%,,,,,,,
,LY6K,8q24.3,AMP,13.50%,,,,,,,
,LY96,8q21.11,AMP,12.40%,,,,,,,
,LYNX1,8q24.3,AMP,13.50%,,,,,,,
,LYPD2,8q24.3,AMP,13.50%,,,,,,,
,MAF1,8q24.3,AMP,12.40%,,,,,,,
,MAFA,8q24.3,AMP,13.50%,,,,,,,
,MAPK15,,AMP,13.50%,,,,,,,
,MB21D1,6q13,HOMDEL,1.80%,,,,,,,
,MFSD3,8q24.3,AMP,12.40%,,,,,,,
,MGME1,20p11.23,HOMDEL,1.80%,,,,,,,
,MIR1204,,AMP,11.80%,,,,,,,
,MIR1205,,AMP,11.80%,,,,,,,
,MIR1206,,AMP,11.80%,,,,,,,
,MIR1207,,AMP,11.20%,,,,,,,
,MIR1208,8q24.21,AMP,10.60%,,,,,,,
,MIR1234,,AMP,12.40%,,,,,,,
,MIR1296,,AMP,5.90%,,,,,,,
,MIR1468,,AMP,10.00%,,,,,,,
,MIR223,Xq12,AMP,18.80%,,,,,,,
,MIR30B,8q24.22,AMP,11.80%,,,,,,,
,MIR30D,8q24.22,AMP,11.80%,,,,,,,
,MIR346,10q23.2,HOMDEL,0.60%,,,,,,,
,MIR4472-1,,AMP,14.70%,,,,,,,
,MIR4664,,AMP,13.50%,,,,,,,
,MIR661,8q24.3,AMP,14.10%,,,,,,,
,MIR937,8q24.3,AMP,13.50%,,,,,,,
,MIR939,8q24.3,AMP,12.40%,,,,,,,
,MMRN2,10q23.2,HOMDEL,1.80%,,,,,,,
,MROH1,8q24.3,AMP,12.40%,,,,,,,
,MROH6,8q24.3,AMP,14.10%,,,,,,,
,MSC,8q21,AMP,12.90%,,,,,,,
,MSN,Xq11.1,AMP,16.50%,,,,,,,
,MSTO1,1q22,HOMDEL,0.60%,,,,,,,
,MTMR8,Xq11.2,AMP,10.60%,,,,,,,
,MTO1,6q13,HOMDEL,1.80%,,,,,,,
,MTSS1,8p22,AMP,10.60%,,,,,,,
,MYC,8q24.21,AMP,11.80%,,,,,,,
,NAPRT1,8q24.3,AMP,14.10%,,,,,,,
,NCOA2,8q13.3,AMP,10.60%,,,,,,,
,NDRG1,8q24.3,AMP,11.20%,,,,,,,
,NDUFB9,8q13.3,AMP,10.00%,,,,,,,
,NRBF2,10q21.3,AMP,5.90%,,,,,,,
,NRBP2,8q24.3,AMP,14.10%,,,,,,,
,NSMCE2,8q24.13,AMP,11.80%,,,,,,,
,NUPR1,16p11.2,HOMDEL,0.60%,,,,,,,
,OC90,8q24.22,AMP,10.60%,,,,,,,
,OOEP,6q13,HOMDEL,1.80%,,,,,,,
,OPHN1,Xq12,AMP,20.60%,,,,,,,
,OPLAH,8q24.3,AMP,13.50%,,,,,,,
,OPN4,10q22,HOMDEL,1.20%,,,,,,,
,OR4C12,11p11.12,AMP,6.50%,,,,,,,
,OR4C13,11p11.12,AMP,6.50%,,,,,,,
,OVOL2,20p11.23,HOMDEL,1.80%,,,,,,,
,PARP10,8q24.3,AMP,14.10%,,,,,,,
,PCAT1,8q24.21,AMP,11.80%,,,,,,,
,PET117,20p11.23,HOMDEL,1.80%,,,,,,,
,PHF20L1,8q24.22,AMP,10.00%,,,,,,,
,PHF2P1,13q11,AMP,23.50%,,,,,,,
,PHYHIPL,10q11,AMP,4.10%,,,,,,,
,PJA1,Xq13.1,AMP,15.30%,,,,,,,
,PLEC,8q24,AMP,14.10%,,,,,,,
,POLR3A,10q22-q23,AMP,3.50%,,,,,,,
,POU5F1B,8q24.21,AMP,11.80%,,,,,,,
,PPP1R16A,8q24.3,AMP,12.40%,,,,,,,
,PRDM14,8q13.3,AMP,10.00%,,,,,,,
,PREX2,8q13.2,AMP,10.60%,,,,,,,
,PSCA,8q24.2,AMP,13.50%,,,,,,,
,PTK2,8q24.3,AMP,12.90%,,,,,,,
,PTP4A3,8q24.3,AMP,14.70%,,,,,,,
,PUF60,8q24.3,AMP,14.10%,,,,,,,
,PVT1,8q24,AMP,11.20%,,,,,,,
,PYCRL,8q24.3,AMP,14.10%,,,,,,,
,RDH10,8q21.11,AMP,12.40%,,,,,,,
,RECQL4,8q24.3,AMP,12.40%,,,,,,,
,REEP3,10q21.3,AMP,5.90%,,,,,,,
,RGR,10q23,AMP,1.80%,,,,,,,
,RHOBTB1,10q21.2,AMP,6.50%,,,,,,,
,RHPN1,8q24.3,AMP,12.90%,,,,,,,
,RHPN1-AS1,8q24,AMP,12.40%,,,,,,,
,RNF139,8q24,AMP,10.00%,,,,,,,
,RPL7,8q21.11,AMP,12.90%,,,,,,,
,RPL8,8q24.3,AMP,12.40%,,,,,,,
,RPS24,10q22,AMP,4.10%,,,,,,,
,RTKN2,10q21.2,AMP,5.90%,,,,,,,
,SBSPON,8q21.11,AMP,14.70%,,,,,,,
,SCRIB,8q24.3,AMP,13.50%,,,,,,,
,SCRT1,8q24.3,AMP,12.40%,,,,,,,
,SCXB,8q24.3,AMP,12.40%,,,,,,,
,SHARPIN,8q24.3,AMP,12.90%,,,,,,,
,SLA,8q24,AMP,10.60%,,,,,,,
,SLC16A9,10q21.2,AMP,5.90%,,,,,,,
,SLC17A5,6q13,HOMDEL,1.80%,,,,,,,
,SLC39A4,8q24.3,AMP,12.40%,,,,,,,
,SLC45A4,8q24.3,AMP,14.70%,,,,,,,
,SLC52A2,8q24.3,AMP,12.40%,,,,,,,
,SLCO5A1,8q13.3,AMP,10.60%,,,,,,,
,SLURP1,8q24.3,AMP,13.50%,,,,,,,
,SNCG,10q23.2-q23.3,HOMDEL,1.80%,,,,,,,
,SNORD17,20p11.23,HOMDEL,1.80%,,,,,,,
,SNX5,20p11,HOMDEL,1.80%,,,,,,,
,SPATC1,8q24.3,AMP,14.10%,,,,,,,
,SPIN4,Xq11.1,AMP,8.80%,,,,,,,
,SQLE,8q24.1,AMP,10.60%,,,,,,,
,ST3GAL1,8q24.22,AMP,11.80%,,,,,,,
,STARD8,Xq13.1,AMP,16.50%,,,,,,,
,STAU2,8q21.11,AMP,12.40%,,,,,,,
,SULF1,8q13.1,AMP,11.20%,,,,,,,
,SULT1A1,16p12.1,HOMDEL,0.60%,,,,,,,
,SULT1A2,16p12.1,HOMDEL,0.60%,,,,,,,
,TATDN1,8q24.13,AMP,10.00%,,,,,,,
,TCEB1,8q21.11,AMP,12.40%,,,,,,,
,TERF1,8q21.11,AMP,13.50%,,,,,,,
,TG,8q24,AMP,10.00%,,,,,,,
,THEM6,8q24.3,AMP,13.50%,,,,,,,
,TIGD5,8q24.3,AMP,14.10%,,,,,,,
,TMED10P1,8q24.3,AMP,12.40%,,,,,,,
,TMEM249,8q24.3,AMP,12.40%,,,,,,,
,TMEM26,10q21.2,AMP,5.90%,,,,,,,
,TMEM65,8q24.13,AMP,10.00%,,,,,,,
,TMEM70,8q21.11,AMP,12.40%,,,,,,,
,TMEM71,8q24.22,AMP,10.00%,,,,,,,
,TONSL,8q24.3,AMP,12.40%,,,,,,,
,TOP1MT,8q24.3,AMP,12.40%,,,,,,,
,TPTE2,13q12.11,AMP,23.50%,,,,,,,
,TRAM1,8q13.3,AMP,10.60%,,,,,,,
,TRAPPC9,8q24.3,AMP,10.60%,,,,,,,
,TRIB1,8q24.13,AMP,11.80%,,,,,,,
,TRMT12,8q24.13,AMP,10.00%,,,,,,,
,TRPA1,8q13,AMP,14.70%,,,,,,,
,TSNARE1,8q24.3,AMP,14.70%,,,,,,,
,TSTA3,8q24.3,AMP,14.10%,,,,,,,
,TUBA3C,13q11,AMP,23.50%,,,,,,,
,UBE2W,8q21.11,AMP,12.40%,,,,,,,
,VPS28,8q24.3,AMP,12.40%,,,,,,,
,VSIG4,Xq12-q13.3,AMP,18.80%,,,,,,,
,WAPAL,10q23.2,HOMDEL,0.60%,,,,,,,
,WISP1,8q24.22,AMP,11.20%,,,,,,,
,XKR9,8q13.3,AMP,10.60%,,,,,,,
,YIPF6,Xq12,AMP,18.80%,,,,,,,
,ZC3H12B,Xq12,AMP,14.70%,,,,,,,
,ZC3H3,8q24.3,AMP,13.50%,,,,,,,
,ZC4H2,Xq11.2,AMP,12.40%,,,,,,,
,ZFAT,8q24.22,AMP,11.80%,,,,,,,
,ZFAT-AS1,8q24.22,AMP,11.80%,,,,,,,
,ZFP41,8q24.3,AMP,11.80%,,,,,,,
,ZNF16,8q24,AMP,12.40%,,,,,,,
,ZNF250,8q24.3,AMP,12.40%,,,,,,,
,ZNF251,8q24.3,AMP,12.40%,,,,,,,
,ZNF252P,8q24.3,AMP,12.40%,,,,,,,
,ZNF252P-AS1,8q24.3,AMP,12.40%,,,,,,,
,ZNF34,8q24.3,AMP,12.40%,,,,,,,
,ZNF365,10q21.2,AMP,5.90%,,,,,,,
,ZNF503-AS2,10q22.2,AMP,5.30%,,,,,,,
,ZNF517,8q24.3,AMP,12.40%,,,,,,,
,ZNF572,8q24.13,AMP,10.60%,,,,,,,
,ZNF623,8q24.3,AMP,13.50%,,,,,,,
,ZNF696,8q24.3,AMP,11.80%,,,,,,,
,ZNF7,8q24,AMP,12.40%,,,,,,,
,ZNF707,8q24.3,AMP,13.50%,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
