MO_1014-Tumour,,,,,,,,,,,,
CRPC,,,,,,,,,,,,
lymph node,,,,,,,,,,,,
,ADORA2A,22q11.23,AMP,92%,1.20%,,,,,,,
,ADORA2A-AS1,22q11.23,AMP,74%,1.20%,,,,,,,
,ADRB3,8p12,AMP,NA,4.10%,,,,,,,
,ADRBK2,22q12.1,AMP,100%,1.80%,,,,,,,
,AIFM3,22q11.21,AMP,84%,1.20%,,,,,,,
,ANKRD62P1-PARP4P3,22q11.1,AMP,NA,0.60%,,,,,,,
,AR,Xq12,AMP,62%,25.90%,,,,,,,
,ARVCF,22q11.21,AMP,96%,1.20%,,,,,,,
,ASH2L,8p11.2,AMP,78%,5.30%,,,,,,,
,ASPHD2,22q12.1,AMP,NA,1.20%,,,,,,,
,ATP6V1E1,22q11.1,AMP,44%,1.20%,,,,,,,
,B3GNTL1,17q25.3,AMP,100%,5.30%,,,,,,,
,BAG4,8p11.23,AMP,98%,5.30%,,,,,,,
,BCL2L13,22q11.1,AMP,82%,0.60%,,,,,,,
,BCR,22q11.23,AMP,90%,0.60%,,,,,,,
,BCRP2,22q11.21,AMP,NA,1.20%,,,,,,,
,BCRP3,22q11.23,AMP,NA,0.60%,,,,,,,
,BID,22q11.1,AMP,96%,1.20%,,,,,,,
,BRF2,8p11.23,AMP,NA,4.10%,,,,,,,
,C17ORF62,17q25.3,AMP,100%,2.90%,,,,,,,
,C22ORF15,22q11.23,AMP,NA,0.60%,,,,,,,
,C22ORF29,22q11.21,AMP,86%,1.20%,,,,,,,
,C22ORF39,22q11.21,AMP,70%,1.20%,,,,,,,
,C8ORF86,8p11.22,AMP,NA,5.30%,,,,,,,
,CABIN1,22q11.23,AMP,98%,0.60%,,,,,,,
,CCDC116,22q11.21,AMP,NA,1.20%,,,,,,,
,CCDC57,17q25.3,AMP,98%,3.50%,,,,,,,
,CCT8L2,22q11.1,AMP,NA,0.60%,,,,,,,
,CD7,17q25.2-q25.3,AMP,56%,2.40%,,,,,,,
,CDC45,22q11.21,AMP,100%,1.20%,,,,,,,
,CECR1,22q11.2,AMP,60%,0.60%,,,,,,,
,CECR2,22q11.2,AMP,NA,1.20%,,,,,,,
,CECR3,,AMP,NA,1.20%,,,,,,,
,CECR5,,AMP,100%,0.60%,,,,,,,
,CECR5-AS1,22q11.1,AMP,NA,0.60%,,,,,,,
,CECR6,,AMP,22%,0.60%,,,,,,,
,CECR7,22q11.1,AMP,34%,0.60%,,,,,,,
,CES5AP1,22q11.23,AMP,NA,0.60%,,,,,,,
,CHCHD10,22q11.23,AMP,90%,0.60%,,,,,,,
,CLDN5,22q11.21,AMP,78%,1.20%,,,,,,,
,CLTCL1,22q11.21,AMP,98%,1.20%,,,,,,,
,COMT,22q11.21,AMP,70%,1.20%,,,,,,,
,CRKL,22q11.21,AMP,44%,1.20%,,,,,,,
,CRYBA4,22q12.1,AMP,NA,1.20%,,,,,,,
,CRYBB1,22q12.1,AMP,NA,1.20%,,,,,,,
,CRYBB2,22q11.23,AMP,52%,0.60%,,,,,,,
,CRYBB2P1,22q11.2-q12.1,AMP,96%,0.60%,,,,,,,
,CRYBB3,22q11.23,AMP,NA,0.60%,,,,,,,
,CSNK1D,17q25,AMP,62%,2.40%,,,,,,,
,DCXR,17q25.3,AMP,96%,4.10%,,,,,,,
,DDHD2,8p11.23,AMP,94%,5.30%,,,,,,,
,DDT,22q11.23,AMP,84%,0.60%,,,,,,,
,DDTL,22q11.23,AMP,72%,0.60%,,,,,,,
,DERL3,22q11.23,AMP,86%,0.60%,,,,,,,
,DGCR10,22q11,AMP,NA,1.20%,,,,,,,
,DGCR11,22q11.21,AMP,NA,1.20%,,,,,,,
,DGCR14,22q11.21|22q11.2,AMP,96%,1.20%,,,,,,,
,DGCR2,22q11.21,AMP,84%,1.20%,,,,,,,
,DGCR5,22q11,AMP,40%,1.20%,,,,,,,
,DGCR6,22q11.21|22q11,AMP,96%,1.20%,,,,,,,
,DGCR6L,22q11.21,AMP,100%,1.20%,,,,,,,
,DGCR8,22q11.2,AMP,98%,1.20%,,,,,,,
,DGCR9,22q11.21,AMP,NA,1.20%,,,,,,,
,DRICH1,22q11.2,AMP,NA,0.60%,,,,,,,
,DUS1L,17q25.3,AMP,96%,3.50%,,,,,,,
