Apoptosis	25	4	2	3	14	13	9	4	3	4	0	1	0	0	3	0	6	4	2	0	3	4	8	2	4	13	6	16	3	3	6	1	0	10	14	4	4	4	7	2	0	3	2	6	3	2	3	1	2	2	2	2	1	0	0	0	1	0	0	1	0	0	1	0	3	0	1	1	0	1	1	0	0	1	0	0	1	0	2	1	1	0	0	0	2	1	0	0	0	0	0	1	0	0	8	1	0	0	0	0
Binding and Uptake of Ligands by Scavenger Receptors	9	0	1	1	8	7	4	2	2	0	0	0	0	0	2	0	0	1	0	1	1	0	4	0	0	3	3	6	1	2	0	1	0	2	1	1	2	1	1	1	0	1	0	2	2	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	4	0	0	0	0	0
Cell Cycle	87	8	6	9	55	47	18	7	5	3	0	1	3	3	7	3	6	14	10	9	5	8	31	4	10	36	13	54	3	7	10	6	3	31	26	18	11	5	15	3	2	9	10	14	18	5	6	2	5	6	4	3	3	0	2	2	0	1	0	1	0	0	2	0	7	0	1	0	0	2	1	0	1	1	0	2	2	1	1	2	0	1	0	1	3	4	2	1	0	0	1	1	1	0	20	3	3	0	0	0
Cell-Cell communication	19	2	4	2	17	14	10	2	3	1	0	3	0	1	4	1	6	2	2	0	1	3	8	2	1	11	1	12	2	2	3	0	4	4	9	6	3	2	8	2	1	1	4	4	5	0	3	1	2	6	2	1	0	1	2	1	1	0	0	1	0	2	1	1	3	1	0	0	1	1	1	0	1	2	0	1	0	0	3	1	1	0	0	2	1	4	3	1	0	1	1	1	3	0	8	0	1	1	1	1
Cellular responses to stress	38	5	7	7	21	19	6	7	3	1	0	0	1	2	4	2	2	6	5	2	4	6	9	1	2	16	7	26	3	9	4	3	1	18	12	7	4	2	5	2	1	2	7	4	6	1	2	1	3	4	2	3	1	1	2	2	0	1	0	1	0	0	2	0	4	1	0	0	1	1	0	0	0	2	0	0	0	1	2	2	0	0	0	0	3	2	2	0	0	0	0	1	2	0	11	1	0	0	0	0
Chromatin organization	27	11	2	2	17	15	5	2	3	0	0	0	1	0	3	1	2	10	8	2	1	4	11	0	2	11	5	22	1	2	1	2	1	9	14	8	5	3	6	1	2	3	4	6	10	1	1	0	2	1	0	3	0	0	1	0	0	0	0	3	0	1	2	0	1	2	0	2	0	2	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	4	1	3	0	1	0	2	2	0	7	0	1	0	0	0
Circadian Clock	6	2	2	1	8	2	3	2	0	2	0	0	0	0	1	0	0	1	2	0	0	1	1	1	3	4	1	7	0	1	2	0	0	2	4	3	1	5	2	1	0	2	2	3	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	0
Developmental Biology	60	15	14	16	65	52	30	15	13	5	1	4	1	4	4	1	9	13	14	7	4	3	21	5	3	31	15	47	3	7	10	10	2	35	31	22	7	6	22	8	1	8	11	17	20	7	3	2	11	9	2	5	2	5	3	2	2	2	0	1	0	2	1	2	8	3	1	2	3	1	3	0	2	3	1	1	0	3	3	4	2	3	0	3	4	7	5	1	3	1	3	6	9	4	28	2	5	3	4	4
Disease	164	31	23	18	96	69	44	14	21	8	0	5	5	8	8	6	10	22	22	14	13	18	79	9	7	77	25	118	10	16	17	21	6	80	62	34	20	17	31	10	5	14	26	37	36	7	20	5	22	16	4	8	3	2	6	4	2	5	2	1	3	2	2	5	16	3	3	4	2	4	2	1	2	5	0	3	2	5	5	6	6	3	2	1	3	9	5	4	2	0	3	2	5	3	60	7	3	2	8	6
DNA Repair	22	1	0	2	14	12	5	1	1	0	0	0	0	0	1	0	0	1	1	4	0	3	11	0	0	11	5	12	1	3	2	0	0	2	5	2	1	2	6	0	0	2	5	3	2	0	1	1	0	3	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	1
