G1/S DNA Damage Checkpoints	13	1	0	1	5	6	3	1	1	3	0	0	0	0	0	0	1	3	0	1	2	1	2	0	1	4	3	6	0	1	0	1	0	4	6	4	1	2	4	1	0	1	1	2	3	1	1	0	0	1	2	1	1	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0
G2/M Checkpoints	16	1	1	2	5	4	4	1	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	1	1	3	1	10	0	0	0	0	0	2	3	0	0	1	2	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Mitotic Spindle Checkpoint	3	0	0	0	2	2	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	2	1	3	2	1	1	0	1	5	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitotic G1-G1/S phases	30	2	4	2	13	12	7	2	2	2	0	0	0	0	0	2	0	4	0	1	2	2	10	1	3	8	3	12	1	1	0	2	0	6	9	4	1	3	4	1	0	1	2	6	3	1	1	0	1	1	1	0	1	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	9	1	1	0	0	0
S Phase	30	2	2	2	11	10	7	2	2	2	0	0	0	0	0	0	0	4	2	1	2	2	9	0	3	10	3	15	0	0	2	1	0	6	10	6	1	3	5	1	0	1	0	5	5	1	3	0	1	2	1	0	1	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	4	2	0	0	0	0
Regulation of DNA replication	17	0	0	0	8	9	3	1	2	2	0	0	0	0	0	0	0	2	0	0	2	1	2	0	1	4	2	5	0	0	0	1	0	4	7	4	1	2	4	0	0	1	0	1	3	1	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	1	0	0	0	0
Mitotic G2-G2/M phases	14	2	2	2	12	6	4	3	2	0	0	1	1	1	2	0	1	0	1	2	2	0	5	1	1	7	3	7	0	1	2	1	0	3	6	4	1	1	1	1	0	3	0	6	4	0	0	0	1	1	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0
M Phase	45	4	2	3	23	25	5	4	2	2	0	0	2	2	3	1	3	11	6	3	2	4	11	3	6	17	8	26	2	3	5	3	3	22	13	10	6	2	8	0	2	5	2	3	11	4	3	2	3	2	0	1	1	0	2	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	2	1	1	0	0	0	1	0	0	12	1	1	0	0	0
M/G1 Transition	19	1	0	0	7	6	3	2	2	2	0	0	0	0	0	0	0	3	0	0	1	1	3	0	2	4	2	8	0	0	0	0	0	4	7	3	0	2	4	0	0	1	0	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	5	0	0	0	0	0
Regulation of mitotic cell cycle	16	1	0	1	6	7	3	1	1	2	0	0	0	1	1	0	1	2	0	2	1	1	2	0	2	7	3	7	2	2	1	0	1	10	5	4	1	2	5	0	0	1	0	2	3	2	1	1	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
Nucleosome assembly	8	2	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	3	0	0	4	0	6	1	0	1	0	0	1	2	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Telomere Maintenance	12	2	1	2	0	0	2	1	0	0	0	0	0	0	1	0	0	4	4	0	0	1	4	0	1	6	1	11	0	0	1	0	0	2	2	2	2	2	1	0	0	1	1	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Meiotic recombination	6	1	0	2	4	3	1	0	0	0	0	0	0	0	1	0	0	5	4	3	0	0	8	0	0	4	1	6	0	1	0	1	0	1	0	0	2	0	1	1	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
