Reactome Pathway	Sum	Avg	StdDev
Chaperonin-mediated protein folding	8	0.25	0.508000508000762
NADE modulates death signalling	1	0.03125	0.176776695296637
Vitamin B5 (pantothenate) metabolism	1	0.03125	0.176776695296637
mRNA Editing: C to U Conversion	1	0.03125	0.176776695296637
Acrosome Reaction	0	0	0
Inhibition of IFN-beta	0	0	0
Packaging of Eight RNA Segments	0	0	0
Defective CUBN causes hereditary megaloblastic anemia 1	6	0.1875	0.470929074859885
Telomere C-strand synthesis initiation	0	0	0
Adaptive Immune System	54	1.6875	1.59510339436341
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	0	0	0
Generation of second messenger molecules	2	0.0625	0.245934688418982
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	2	0.0625	0.245934688418982
Defects in cobalamin (B12) metabolism	6	0.1875	0.470929074859885
Keratan sulfate degradation	1	0.03125	0.176776695296637
Synthesis of PIPs at the late endosome membrane	2	0.0625	0.245934688418982
DNA strand elongation	2	0.0625	0.245934688418982
Metabolism of serotonin	0	0	0
vRNA Synthesis	0	0	0
Nef Mediated CD8 Down-regulation	0	0	0
Activation of Chaperones by IRE1alpha	2	0.0625	0.245934688418982
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	6	0.1875	0.470929074859885
NOSIP mediated eNOS trafficking	0	0	0
FGFR2b ligand binding and activation	1	0.03125	0.176776695296637
Innate Immune System	75	2.34375	1.47253073794524
Loss of Function of TGFBR1 in Cancer	10	0.3125	0.535061045658012
Metabolism of porphyrins	0	0	0
G2 Phase	0	0	0
C6 deamination of adenosine	1	0.03125	0.176776695296637
Formation of apoptosome	1	0.03125	0.176776695296637
ISG15 antiviral mechanism	6	0.1875	0.470929074859885
Passive Transport by Aquaporins	0	0	0
Reactions specific to the hybrid N-glycan synthesis pathway	0	0	0
G alpha (12/13) signalling events	9	0.28125	0.522671487524399
MyD88 dependent cascade initiated on endosome	9	0.28125	0.522671487524399
NGF processing	1	0.03125	0.176776695296637
Synthesis of PG	1	0.03125	0.176776695296637
CD28 dependent Vav1 pathway	2	0.0625	0.245934688418982
Interactions of Rev with host cellular proteins	2	0.0625	0.245934688418982
Amino acid transport across the plasma membrane	1	0.03125	0.176776695296637
Transmission across Chemical Synapses	17	0.53125	0.761339015665291
APOBEC3G mediated resistance to HIV-1 infection	0	0	0
Activation of Nicotinic Acetylcholine Receptors	2	0.0625	0.245934688418982
Glutamate Neurotransmitter Release Cycle	2	0.0625	0.245934688418982
TGFBR1 LBD Mutants in Cancer	10	0.3125	0.535061045658012
S Phase	10	0.3125	0.692703911983626
Transport of Mature mRNA derived from an Intron-Containing Transcript	6	0.1875	0.470929074859885
Loss of Nlp from mitotic centrosomes	5	0.15625	0.368902032628474
Cyclin A:Cdk2-associated events at S phase entry	8	0.25	0.508000508000762
Nuclear Pore Complex (NPC) Disassembly	2	0.0625	0.245934688418982
Endogenous sterols	0	0	0
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	1	0.03125	0.176776695296637
Disinhibition of SNARE formation	0	0	0
Oligomerization of connexins into connexons	0	0	0
Interleukin-7 signaling	1	0.03125	0.176776695296637
NOD1/2 Signaling Pathway	7	0.21875	0.420013440645154
Interleukin-2 signaling	2	0.0625	0.245934688418982
STAT6-mediated induction of chemokines	0	0	0
G-protein activation	0	0	0
Signaling by Wnt	14	0.4375	0.618922059817739
Regulation of Insulin Secretion by Fatty Acids Bound to GPR40 (FFAR1)	1	0.03125	0.176776695296637
Release of apoptotic factors from the mitochondria	0	0	0
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	0	0	0
Catecholamine biosynthesis	0	0	0
ERK2 activation	0	0	0
Initial triggering of complement	5	0.15625	0.447889315243931
Influenza Virus Induced Apoptosis	0	0	0
Interleukin-6 signaling	1	0.03125	0.176776695296637
Estrogen biosynthesis	0	0	0
Removal of the Flap Intermediate	0	0	0
Deadenylation-dependent mRNA decay	5	0.15625	0.368902032628474
"Lipid digestion, mobilization, and transport"	2	0.0625	0.245934688418982
Sema3A PAK dependent Axon repulsion	2	0.0625	0.245934688418982
Transport of the SLBP independent Mature mRNA	2	0.0625	0.245934688418982
A third proteolytic cleavage releases NICD	3	0.09375	0.296144581080299
Signaling by PDGF	32	1	1.16397539049476
Transport of Mature mRNAs Derived from Intronless Transcripts	2	0.0625	0.245934688418982
Scavenging by Class B Receptors	1	0.03125	0.176776695296637
Alpha-oxidation of phytanate	1	0.03125	0.176776695296637
Signaling by Leptin	1	0.03125	0.176776695296637
Synthesis of PS	0	0	0
Mitotic Metaphase/Anaphase Transition	0	0	0
Signaling by TGF-beta Receptor Complex	10	0.3125	0.535061045658012
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds"	7	0.21875	0.490843579315079
Post-Elongation Processing of the Transcript	4	0.125	0.421211769587116
Breakdown of the nuclear lamina	0	0	0
Binding and entry of HIV virion	0	0	0
Processive synthesis on the lagging strand	0	0	0
p53-Independent G1/S DNA damage checkpoint	5	0.15625	0.368902032628474
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling	0	0	0
S6K1 signalling	0	0	0
Signaling by FGFR1 fusion mutants	4	0.125	0.336010752516124
Advanced glycosylation endproduct receptor signaling	0	0	0
Glycolysis	1	0.03125	0.176776695296637
Oxidative Stress Induced Senescence	12	0.375	0.65991201759609
Regulation of Signaling by NODAL	0	0	0
Interactions of Vpr with host cellular proteins	2	0.0625	0.245934688418982
Coenzyme A biosynthesis	1	0.03125	0.176776695296637
Transport of Ribonucleoproteins into the Host Nucleus	2	0.0625	0.245934688418982
APC/C:Cdc20 mediated degradation of mitotic proteins	5	0.15625	0.447889315243931
IRF3-mediated induction of type I IFN	1	0.03125	0.176776695296637
Synthesis of CL	0	0	0
Nicotinate metabolism	0	0	0
Circadian Repression of Expression by REV-ERBA	4	0.125	0.336010752516124
TRKA activation by NGF	0	0	0
TWIK related potassium channel (TREK)	0	0	0
Acyl chain remodelling of PC	0	0	0
Clathrin derived vesicle budding	4	0.125	0.336010752516124
Triglyceride Biosynthesis	4	0.125	0.336010752516124
Pre-NOTCH Expression and Processing	11	0.34375	0.545324703509812
CDT1 association with the CDC6:ORC:origin complex	5	0.15625	0.447889315243931
p130Cas linkage to MAPK signaling for integrins	3	0.09375	0.296144581080299
Processing of Intronless Pre-mRNAs	0	0	0
Thromboxane signalling through TP receptor	0	0	0
Signal amplification	0	0	0
DNA Replication Pre-Initiation	5	0.15625	0.447889315243931
Regulation of ornithine decarboxylase (ODC)	4	0.125	0.336010752516124
"Activation, myristolyation of BID and translocation to mitochondria"	0	0	0
Localization of the PINCH-ILK-PARVIN complex to focal adhesions	0	0	0
Sodium-coupled phosphate cotransporters	0	0	0
Lysosome Vesicle Biogenesis	2	0.0625	0.245934688418982
Binding of RNA by Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs)	1	0.03125	0.176776695296637
betaKlotho-mediated ligand binding	0	0	0
Lysine catabolism	0	0	0
Glycerophospholipid biosynthesis	3	0.09375	0.296144581080299
Fcgamma receptor (FCGR) dependent phagocytosis	12	0.375	0.609071212532232
Signaling by FGFR4 mutants	0	0	0
Homologous recombination repair of replication-independent double-strand breaks	2	0.0625	0.245934688418982
Downregulation of ERBB4 signaling	0	0	0
ERKs are inactivated	1	0.03125	0.176776695296637
Apoptotic execution  phase	8	0.25	0.43994134506406
Cytosolic sulfonation of small molecules	2	0.0625	0.245934688418982
Formyl peptide receptors bind formyl peptides and many other ligands	1	0.03125	0.176776695296637
Insulin receptor signalling cascade	5	0.15625	0.368902032628474
RNA Polymerase II Transcription Initiation And Promoter Clearance	5	0.15625	0.368902032628474
Transcriptional  activation of  cell cycle inhibitor p21	3	0.09375	0.296144581080299
NFG and proNGF binds to p75NTR	0	0	0
Nonsense Mediated Decay Independent of the Exon Junction Complex	1	0.03125	0.176776695296637
Class II GLUTs	0	0	0
Activation of RAS in B Cells	0	0	0
RNA Polymerase III Transcription Initiation	1	0.03125	0.176776695296637
Amino acid synthesis and interconversion (transamination)	1	0.03125	0.176776695296637
Interaction With The Zona Pellucida	0	0	0
MPS IV - Morquio syndrome A	12	0.375	0.707106781186548
MAPK targets/ Nuclear events mediated by MAP kinases	3	0.09375	0.39015092199748
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways	6	0.1875	0.396557769456266
TNF signaling	0	0	0
Assembly of the ORC complex at the origin of replication	1	0.03125	0.176776695296637
ADP signalling through P2Y purinoceptor 12	0	0	0
Extrinsic Pathway for Apoptosis	1	0.03125	0.176776695296637
Regulation of gap junction activity	0	0	0
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	0	0	0
Ras activation uopn Ca2+ infux through NMDA receptor	1	0.03125	0.176776695296637
Destabilization of mRNA by Butyrate Response Factor 1 (BRF1)	3	0.09375	0.296144581080299
Dopamine Neurotransmitter Release Cycle	2	0.0625	0.245934688418982
Nef and signal transduction	1	0.03125	0.176776695296637
PLCG1 events in ERBB2 signaling	3	0.09375	0.296144581080299
Apoptotic cleavage of cell adhesion  proteins	4	0.125	0.336010752516124
Synthesis of 12-eicosatetraenoic acid derivatives	0	0	0
Signaling by NODAL	5	0.15625	0.447889315243931
Sulfide oxidation to sulfate	1	0.03125	0.176776695296637
Inhibition of Host mRNA Processing and RNA Silencing	0	0	0
Signalling to RAS	2	0.0625	0.245934688418982
Purine metabolism	3	0.09375	0.296144581080299
Signaling by BMP	5	0.15625	0.368902032628474
Peptide hormone metabolism	5	0.15625	0.368902032628474
G alpha (s) signalling events	8	0.25	0.43994134506406
Activation of BIM and translocation to mitochondria	0	0	0
TRAF6 mediated NF-kB activation	3	0.09375	0.296144581080299
"Unblocking of NMDA receptor, glutamate binding and activation"	2	0.0625	0.245934688418982
PERK regulated gene expression	2	0.0625	0.245934688418982
PI3K/AKT Signaling in Cancer	23	0.71875	0.771858878961859
Antigen Activates B Cell Receptor Leading to Generation of Second Messengers	3	0.09375	0.296144581080299
Transcription from mitochondrial promoters	0	0	0
Purine salvage	1	0.03125	0.176776695296637
Release of eIF4E	0	0	0
Dimerization of procaspase-8	1	0.03125	0.176776695296637
Regulation by c-FLIP	1	0.03125	0.176776695296637
DAG and IP3 signaling	2	0.0625	0.245934688418982
Defects in vitamin and cofactor metabolism	6	0.1875	0.470929074859885
Potassium transport channels	0	0	0
eNOS activation and regulation	1	0.03125	0.176776695296637
Regulation of AMPK activity via LKB1	0	0	0
Transcription-coupled NER (TC-NER)	3	0.09375	0.296144581080299
Signalling by NGF	45	1.40625	1.29164498767794
TGFBR2 MSI Frameshift Mutants in Cancer	10	0.3125	0.535061045658012
Signaling by EGFR	25	0.78125	0.792479774851313
Type II Na+/Pi cotransporters	0	0	0
Synthesis of substrates in N-glycan biosythesis	4	0.125	0.336010752516124
Enzymatic degradation of Dopamine by monoamine oxidase	0	0	0
MicroRNA (miRNA) Biogenesis	2	0.0625	0.245934688418982
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	8	0.25	0.43994134506406
Synthesis of 15-eicosatetraenoic acid derivatives	0	0	0
Astrocytic Glutamate-Glutamine Uptake And Metabolism	0	0	0
Trafficking of GluR2-containing AMPA receptors	2	0.0625	0.245934688418982
Response of Mtb to phagocytosis	0	0	0
Nuclear Envelope Breakdown	2	0.0625	0.245934688418982
Activation of Chaperone Genes by ATF6-alpha	2	0.0625	0.245934688418982
Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	0	0	0
Molybdenum cofactor biosynthesis	0	0	0
Translesion synthesis by DNA polymerases bypassing lesion on DNA template	0	0	0
Regulation of Insulin Secretion by Glucagon-like Peptide-1	3	0.09375	0.296144581080299
Activated NOTCH1 Transmits Signal to the Nucleus	2	0.0625	0.245934688418982
Ubiquitin-dependent degradation of Cyclin D1	4	0.125	0.336010752516124
AMPK inhibits chREBP transcriptional activation activity	0	0	0
Vitamin D (calciferol) metabolism	0	0	0
RNA Polymerase I Promoter Opening	0	0	0
Prostanoid ligand receptors	0	0	0
Inhibition of Interferon Synthesis	0	0	0
Ionotropic activity of Kainate Receptors	1	0.03125	0.176776695296637
Gap junction assembly	0	0	0
Opioid Signalling	4	0.125	0.336010752516124
Integration of energy metabolism	11	0.34375	0.545324703509812
Synthesis of PE	1	0.03125	0.176776695296637
