
run TCGA-CH-5739 COMB.csv-Mon Jun  9 16:21:33 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,1
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,1
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,0
Telomere C-strand synthesis initiation,1
Defective CUBN causes hereditary megaloblastic anemia 1,5
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,27
Generation of second messenger molecules,1
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,1
Defects in cobalamin (B12) metabolism,5
Keratan sulfate degradation,1
Synthesis of PIPs at the late endosome membrane,0
DNA strand elongation,1
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,1
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,5
Activation of Chaperones by IRE1alpha,4
NOSIP mediated eNOS trafficking,0
Innate Immune System,28
FGFR2b ligand binding and activation,0
Loss of Function of TGFBR1 in Cancer,6
Metabolism of porphyrins,1
G2 Phase,0
C6 deamination of adenosine,0
ISG15 antiviral mechanism,3
Formation of apoptosome,0
Reactions specific to the hybrid N-glycan synthesis pathway,0
Passive Transport by Aquaporins,1
G alpha (12/13) signalling events,2
MyD88 dependent cascade initiated on endosome,4
NGF processing,0
Synthesis of PG,0
CD28 dependent Vav1 pathway,0
Interactions of Rev with host cellular proteins,2
Amino acid transport across the plasma membrane,0
Transmission across Chemical Synapses,12
Activation of Nicotinic Acetylcholine Receptors,2
APOBEC3G mediated resistance to HIV-1 infection,0
TGFBR1 LBD Mutants in Cancer,6
Glutamate Neurotransmitter Release Cycle,0
Transport of Mature mRNA derived from an Intron-Containing Transcript,4
S Phase,6
Loss of Nlp from mitotic centrosomes,4
Cyclin A:Cdk2-associated events at S phase entry,2
Nuclear Pore Complex (NPC) Disassembly,2
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1
Endogenous sterols,4
Oligomerization of connexins into connexons,0
Disinhibition of SNARE formation,2
Interleukin-7 signaling,2
NOD1/2 Signaling Pathway,1
Interleukin-2 signaling,2
STAT6-mediated induction of chemokines,0
G-protein activation,2
Signaling by Wnt,4
Regulation of Insulin Secretion by Fatty Acids Bound to GPR40 (FFAR1),0
Release of apoptotic factors from the mitochondria,0
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,0
Initial triggering of complement,0
ERK2 activation,0
Catecholamine biosynthesis,0
Influenza Virus Induced Apoptosis,0
Interleukin-6 signaling,0
Estrogen biosynthesis,0
Removal of the Flap Intermediate,0
Deadenylation-dependent mRNA decay,3
Sema3A PAK dependent Axon repulsion,1
"Lipid digestion, mobilization, and transport",3
Transport of the SLBP independent Mature mRNA,2
Transport of Mature mRNAs Derived from Intronless Transcripts,3
Signaling by PDGF,14
A third proteolytic cleavage releases NICD,0
Scavenging by Class B Receptors,0
Signaling by Leptin,2
Alpha-oxidation of phytanate,0
Synthesis of PS,1
Mitotic Metaphase/Anaphase Transition,1
