Reactome Pathway	Sum	Avg	StdDev
Chaperonin-mediated protein folding	14	0.28	0.701019665507731
NADE modulates death signalling	1	0.02	0.14142135623731
Vitamin B5 (pantothenate) metabolism	4	0.08	0.340467865366085
mRNA Editing: C to U Conversion	1	0.02	0.14142135623731
Acrosome Reaction	0	0	0
Inhibition of IFN-beta	0	0	0
Packaging of Eight RNA Segments	0	0	0
Defective CUBN causes hereditary megaloblastic anemia 1	19	0.38	1.06694299141931
Telomere C-strand synthesis initiation	0	0	0
Adaptive Immune System	127	2.54	4.39948976633446
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	0	0	0
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	4	0.08	0.27404751561787
Generation of second messenger molecules	4	0.08	0.27404751561787
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	3	0.06	0.239897937482095
Extracellular matrix organization	72	1.44	1.83124804102424
Defects in cobalamin (B12) metabolism	19	0.38	1.06694299141931
Keratan sulfate degradation	2	0.04	0.197948663722157
Synthesis of PIPs at the late endosome membrane	6	0.12	0.385449644663773
DNA strand elongation	5	0.1	0.303045763365663
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling	43	0.86	1.44292786248188
Metabolism of serotonin	0	0	0
vRNA Synthesis	0	0	0
HSF1 activation	5	0.1	0.303045763365663
Nef Mediated CD8 Down-regulation	1	0.02	0.14142135623731
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	19	0.38	1.06694299141931
NOSIP mediated eNOS trafficking	0	0	0
FGFR2b ligand binding and activation	2	0.04	0.197948663722157
Innate Immune System	154	3.08	3.64126015415049
Loss of Function of TGFBR1 in Cancer	13	0.26	0.527218345349884
beta-catenin independent WNT signaling	20	0.4	0.755928946018454
Metabolism of porphyrins	0	0	0
G2 Phase	1	0.02	0.14142135623731
C6 deamination of adenosine	1	0.02	0.14142135623731
Formation of apoptosome	1	0.02	0.14142135623731
ISG15 antiviral mechanism	12	0.24	0.796932896056077
Reactions specific to the hybrid N-glycan synthesis pathway	0	0	0
G alpha (12/13) signalling events	18	0.36	0.662709343128183
MyD88 dependent cascade initiated on endosome	16	0.32	0.652780551931192
NGF processing	1	0.02	0.14142135623731
