
run SC_9012-Tumor COMB.csv-Thu Jul 10 15:46:46 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,1
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,0
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,0
Telomere C-strand synthesis initiation,0
Defective CUBN causes hereditary megaloblastic anemia 1,1
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,7
Generation of second messenger molecules,0
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0
Defects in cobalamin (B12) metabolism,1
Keratan sulfate degradation,0
Synthesis of PIPs at the late endosome membrane,0
DNA strand elongation,1
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,0
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,1
Activation of Chaperones by IRE1alpha,0
NOSIP mediated eNOS trafficking,0
Innate Immune System,6
FGFR2b ligand binding and activation,0
Loss of Function of TGFBR1 in Cancer,1
Metabolism of porphyrins,0
G2 Phase,0
C6 deamination of adenosine,0
ISG15 antiviral mechanism,1
Formation of apoptosome,0
Reactions specific to the hybrid N-glycan synthesis pathway,0
Passive Transport by Aquaporins,0
G alpha (12/13) signalling events,2
MyD88 dependent cascade initiated on endosome,0
NGF processing,0
Synthesis of PG,0
CD28 dependent Vav1 pathway,0
Interactions of Rev with host cellular proteins,1
Amino acid transport across the plasma membrane,0
Transmission across Chemical Synapses,4
Activation of Nicotinic Acetylcholine Receptors,0
APOBEC3G mediated resistance to HIV-1 infection,0
TGFBR1 LBD Mutants in Cancer,1
Glutamate Neurotransmitter Release Cycle,0
Transport of Mature mRNA derived from an Intron-Containing Transcript,1
S Phase,3
Loss of Nlp from mitotic centrosomes,0
Cyclin A:Cdk2-associated events at S phase entry,1
Nuclear Pore Complex (NPC) Disassembly,1
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0
Endogenous sterols,1
Oligomerization of connexins into connexons,0
Disinhibition of SNARE formation,0
Interleukin-7 signaling,1
NOD1/2 Signaling Pathway,0
Interleukin-2 signaling,2
STAT6-mediated induction of chemokines,0
G-protein activation,1
Signaling by Wnt,1
Regulation of Insulin Secretion by Fatty Acids Bound to GPR40 (FFAR1),0
Release of apoptotic factors from the mitochondria,0
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,0
Initial triggering of complement,0
ERK2 activation,0
Catecholamine biosynthesis,0
Influenza Virus Induced Apoptosis,0
Interleukin-6 signaling,0
Estrogen biosynthesis,0
Removal of the Flap Intermediate,0
Deadenylation-dependent mRNA decay,1
Sema3A PAK dependent Axon repulsion,0
"Lipid digestion, mobilization, and transport",2
Transport of the SLBP independent Mature mRNA,1
Transport of Mature mRNAs Derived from Intronless Transcripts,1
Signaling by PDGF,4
A third proteolytic cleavage releases NICD,0
Scavenging by Class B Receptors,1
Signaling by Leptin,1
Alpha-oxidation of phytanate,0
Synthesis of PS,0
Mitotic Metaphase/Anaphase Transition,0
