
run DFCI.11-104.02-Tumor COMB.csv-Mon Aug 18 14:47:11 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,6
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,4
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,0
Telomere C-strand synthesis initiation,1
Defective CUBN causes hereditary megaloblastic anemia 1,14
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),10
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,75
Generation of second messenger molecules,2
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,4
Extracellular matrix organization,31
Defects in cobalamin (B12) metabolism,14
Keratan sulfate degradation,0
Synthesis of PIPs at the late endosome membrane,3
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling,30
DNA strand elongation,11
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,1
HSF1 activation,5
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,14
NOSIP mediated eNOS trafficking,0
Innate Immune System,72
FGFR2b ligand binding and activation,0
beta-catenin independent WNT signaling,23
Loss of Function of TGFBR1 in Cancer,7
Metabolism of porphyrins,3
G2 Phase,1
C6 deamination of adenosine,0
ISG15 antiviral mechanism,9
Formation of apoptosome,1
Reactions specific to the hybrid N-glycan synthesis pathway,0
G alpha (12/13) signalling events,6
MyD88 dependent cascade initiated on endosome,10
NGF processing,0
Synthesis of PG,3
CD28 dependent Vav1 pathway,2
Interactions of Rev with host cellular proteins,7
Amino acid transport across the plasma membrane,3
Transmission across Chemical Synapses,21
RORA activates circadian gene expression,3
Insulin processing,4
Activation of Nicotinic Acetylcholine Receptors,3
APOBEC3G mediated resistance to HIV-1 infection,0
TGFBR1 LBD Mutants in Cancer,7
Glutamate Neurotransmitter Release Cycle,3
Transport of Mature mRNA derived from an Intron-Containing Transcript,11
S Phase,30
Loss of Nlp from mitotic centrosomes,5
