
run MO_1012-Abdomen COMB.csv-Mon Aug 18 14:47:17 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,4
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,2
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,1
Telomere C-strand synthesis initiation,0
Defective CUBN causes hereditary megaloblastic anemia 1,11
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),3
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,61
Generation of second messenger molecules,2
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0
Extracellular matrix organization,48
Defects in cobalamin (B12) metabolism,11
Keratan sulfate degradation,2
Synthesis of PIPs at the late endosome membrane,2
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling,14
DNA strand elongation,1
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,0
HSF1 activation,2
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,11
NOSIP mediated eNOS trafficking,2
Innate Immune System,49
FGFR2b ligand binding and activation,1
beta-catenin independent WNT signaling,14
Loss of Function of TGFBR1 in Cancer,5
Metabolism of porphyrins,0
G2 Phase,0
C6 deamination of adenosine,1
ISG15 antiviral mechanism,3
Formation of apoptosome,0
Reactions specific to the hybrid N-glycan synthesis pathway,0
G alpha (12/13) signalling events,9
MyD88 dependent cascade initiated on endosome,6
NGF processing,1
Synthesis of PG,1
CD28 dependent Vav1 pathway,2
Interactions of Rev with host cellular proteins,3
Amino acid transport across the plasma membrane,1
Transmission across Chemical Synapses,17
RORA activates circadian gene expression,3
Insulin processing,4
Activation of Nicotinic Acetylcholine Receptors,0
APOBEC3G mediated resistance to HIV-1 infection,1
TGFBR1 LBD Mutants in Cancer,5
Glutamate Neurotransmitter Release Cycle,5
Transport of Mature mRNA derived from an Intron-Containing Transcript,6
S Phase,11
Loss of Nlp from mitotic centrosomes,10
Cyclin A:Cdk2-associated events at S phase entry,7
Nuclear Pore Complex (NPC) Disassembly,5
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1
Endogenous sterols,1
Oligomerization of connexins into connexons,0
Disinhibition of SNARE formation,0
Interleukin-7 signaling,0
NOD1/2 Signaling Pathway,3
Interleukin-2 signaling,4
STAT6-mediated induction of chemokines,0
G-protein activation,0
Signaling by Wnt,23
Release of apoptotic factors from the mitochondria,0
Condensation of Prophase Chromosomes,1
ATF6-alpha activates chaperones,1
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,1
Initial triggering of complement,3
ERK2 activation,0
Catecholamine biosynthesis,0
Influenza Virus Induced Apoptosis,0
degradation of DVL,2
Interleukin-6 signaling,2
