
run MO_1012-Subcut COMB.csv-Mon Aug 18 14:47:19 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,2
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,2
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,1
Telomere C-strand synthesis initiation,0
Defective CUBN causes hereditary megaloblastic anemia 1,11
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,45
Generation of second messenger molecules,2
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0
Extracellular matrix organization,37
Defects in cobalamin (B12) metabolism,11
Keratan sulfate degradation,2
Synthesis of PIPs at the late endosome membrane,0
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling,15
DNA strand elongation,0
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,0
HSF1 activation,2
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,11
NOSIP mediated eNOS trafficking,1
Innate Immune System,36
FGFR2b ligand binding and activation,0
beta-catenin independent WNT signaling,10
Loss of Function of TGFBR1 in Cancer,2
Metabolism of porphyrins,0
G2 Phase,0
C6 deamination of adenosine,2
ISG15 antiviral mechanism,3
Formation of apoptosome,0
Reactions specific to the hybrid N-glycan synthesis pathway,0
G alpha (12/13) signalling events,6
MyD88 dependent cascade initiated on endosome,4
NGF processing,0
Synthesis of PG,0
CD28 dependent Vav1 pathway,1
Interactions of Rev with host cellular proteins,3
Amino acid transport across the plasma membrane,2
Transmission across Chemical Synapses,16
RORA activates circadian gene expression,2
Insulin processing,4
Activation of Nicotinic Acetylcholine Receptors,0
APOBEC3G mediated resistance to HIV-1 infection,2
TGFBR1 LBD Mutants in Cancer,2
Glutamate Neurotransmitter Release Cycle,4
Transport of Mature mRNA derived from an Intron-Containing Transcript,4
S Phase,10
Loss of Nlp from mitotic centrosomes,6
Cyclin A:Cdk2-associated events at S phase entry,9
Nuclear Pore Complex (NPC) Disassembly,5
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1
Endogenous sterols,1
Oligomerization of connexins into connexons,0
Disinhibition of SNARE formation,0
Interleukin-7 signaling,0
NOD1/2 Signaling Pathway,2
Interleukin-2 signaling,4
STAT6-mediated induction of chemokines,0
G-protein activation,0
Signaling by Wnt,20
Release of apoptotic factors from the mitochondria,0
Condensation of Prophase Chromosomes,2
ATF6-alpha activates chaperones,0
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,0
Initial triggering of complement,3
ERK2 activation,0
Catecholamine biosynthesis,0
Influenza Virus Induced Apoptosis,0
degradation of DVL,4
Interleukin-6 signaling,1
Cytosolic iron-sulfur cluster assembly,0
Uptake and function of anthrax toxins,0
Estrogen biosynthesis,0
Removal of the Flap Intermediate,0
Deadenylation-dependent mRNA decay,3
Sema3A PAK dependent Axon repulsion,0
"Lipid digestion, mobilization, and transport",9
Transport of the SLBP independent Mature mRNA,3
Transport of Mature mRNAs Derived from Intronless Transcripts,5
Signaling by PDGF,13
A third proteolytic cleavage releases NICD,0
Scavenging by Class B Receptors,2
Signaling by Leptin,2
Alpha-oxidation of phytanate,0
Synthesis of PS,0
Mitotic Metaphase/Anaphase Transition,0
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",3
Signaling by TGF-beta Receptor Complex,2
Post-Elongation Processing of the Transcript,2
Membrane Trafficking,18
Breakdown of the nuclear lamina,1
p53-Independent G1/S DNA damage checkpoint,4
Processive synthesis on the lagging strand,0
Binding and entry of HIV virion,0
Signaling by FGFR1 fusion mutants,1
S6K1 signalling,1
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,0
HDACs deacetylate histones,3
Oxidative Stress Induced Senescence,2
Glycolysis,1
Advanced glycosylation endproduct receptor signaling,0
Interactions of Vpr with host cellular proteins,5
Transport of Ribonucleoproteins into the Host Nucleus,3
Coenzyme A biosynthesis,2
regulation of FZD by ubiquitination,1
APC/C:Cdc20 mediated degradation of mitotic proteins,6
IRF3-mediated induction of type I IFN,2
Toxicity of botulinum toxin type G (BoNT/G),0
Synthesis of CL,0
Nicotinate metabolism,0
TRKA activation by NGF,0
TWIK related potassium channel (TREK),0
Acyl chain remodelling of PC,0
Clathrin derived vesicle budding,5
Triglyceride Biosynthesis,2
Pre-NOTCH Expression and Processing,3
CDT1 association with the CDC6:ORC:origin complex,5
p130Cas linkage to MAPK signaling for integrins,1
Processing of Intronless Pre-mRNAs,2
