
run MO_1013-Tumour COMB.csv-Mon Aug 18 14:47:21 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,4
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,0
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,0
Telomere C-strand synthesis initiation,0
Defective CUBN causes hereditary megaloblastic anemia 1,2
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),5
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,13
Generation of second messenger molecules,1
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0
Extracellular matrix organization,10
Defects in cobalamin (B12) metabolism,2
Keratan sulfate degradation,0
Synthesis of PIPs at the late endosome membrane,0
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling,4
DNA strand elongation,2
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,0
HSF1 activation,2
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,2
NOSIP mediated eNOS trafficking,0
Innate Immune System,18
FGFR2b ligand binding and activation,0
beta-catenin independent WNT signaling,5
Loss of Function of TGFBR1 in Cancer,4
Metabolism of porphyrins,0
G2 Phase,0
C6 deamination of adenosine,2
ISG15 antiviral mechanism,4
Formation of apoptosome,0
Reactions specific to the hybrid N-glycan synthesis pathway,0
G alpha (12/13) signalling events,6
MyD88 dependent cascade initiated on endosome,0
NGF processing,0
Synthesis of PG,1
CD28 dependent Vav1 pathway,1
Interactions of Rev with host cellular proteins,1
Amino acid transport across the plasma membrane,0
Transmission across Chemical Synapses,12
RORA activates circadian gene expression,2
Insulin processing,2
Activation of Nicotinic Acetylcholine Receptors,1
APOBEC3G mediated resistance to HIV-1 infection,0
TGFBR1 LBD Mutants in Cancer,4
Glutamate Neurotransmitter Release Cycle,3
Transport of Mature mRNA derived from an Intron-Containing Transcript,3
S Phase,7
Loss of Nlp from mitotic centrosomes,3
Cyclin A:Cdk2-associated events at S phase entry,4
Nuclear Pore Complex (NPC) Disassembly,1
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0
Endogenous sterols,3
Oligomerization of connexins into connexons,0
Disinhibition of SNARE formation,0
Interleukin-7 signaling,2
NOD1/2 Signaling Pathway,0
Interleukin-2 signaling,3
STAT6-mediated induction of chemokines,0
G-protein activation,1
Signaling by Wnt,7
Release of apoptotic factors from the mitochondria,0
Condensation of Prophase Chromosomes,1
ATF6-alpha activates chaperones,0
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,0
Initial triggering of complement,1
ERK2 activation,0
Catecholamine biosynthesis,0
Influenza Virus Induced Apoptosis,0
degradation of DVL,2
Interleukin-6 signaling,1
