Reactome Pathway	Sum	Avg	StdDev
Chaperonin-mediated protein folding	73	1.46	1.77522634371749
NADE modulates death signalling	6	0.12	0.435187034620795
Vitamin B5 (pantothenate) metabolism	29	0.58	1.0515294982616
mRNA Editing: C to U Conversion	0	0	0
Acrosome Reaction	4	0.08	0.27404751561787
Inhibition of IFN-beta	0	0	0
Packaging of Eight RNA Segments	0	0	0
Defective CUBN causes hereditary megaloblastic anemia 1	129	2.58	3.429107101011
Telomere C-strand synthesis initiation	5	0.1	0.303045763365663
Adaptive Immune System	729	14.58	17.2166151358127
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	0	0	0
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	78	1.56	2.13005700795609
Generation of second messenger molecules	30	0.6	0.808122035641769
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	15	0.3	0.677630927178938
Extracellular matrix organization	380	7.6	9.80004164922428
Defects in cobalamin (B12) metabolism	129	2.58	3.429107101011
Keratan sulfate degradation	13	0.26	0.750781905341195
Synthesis of PIPs at the late endosome membrane	17	0.34	0.65807387464463
DNA strand elongation	45	0.9	1.86536640817151
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling	240	4.8	6.24989795835067
Metabolism of serotonin	4	0.08	0.27404751561787
vRNA Synthesis	0	0	0
HSF1 activation	39	0.78	1.31381979319068
Nef Mediated CD8 Down-regulation	6	0.12	0.328260722659316
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE	129	2.58	3.429107101011
NOSIP mediated eNOS trafficking	5	0.1	0.364215679542342
FGFR2b ligand binding and activation	8	0.16	0.467734444106997
Innate Immune System	703	14.06	16.829771967849
Loss of Function of TGFBR1 in Cancer	73	1.46	1.99192246386269
beta-catenin independent WNT signaling	171	3.42	4.66900330228355
Metabolism of porphyrins	10	0.2	0.534522483824849
G2 Phase	1	0.02	0.14142135623731
C6 deamination of adenosine	34	0.68	0.652780551931192
Formation of apoptosome	2	0.04	0.197948663722157
ISG15 antiviral mechanism	85	1.7	1.88712068766042
Reactions specific to the hybrid N-glycan synthesis pathway	1	0.02	0.14142135623731
G alpha (12/13) signalling events	105	2.1	2.15945949397585
MyD88 dependent cascade initiated on endosome	92	1.84	2.17930900863142
NGF processing	3	0.06	0.239897937482095
Synthesis of PG	14	0.28	0.607436903584837
CD28 dependent Vav1 pathway	21	0.42	0.64174506986332
Interactions of Rev with host cellular proteins	48	0.96	1.32418631157217
Amino acid transport across the plasma membrane	30	0.6	1.14285714285714
Transmission across Chemical Synapses	251	5.02	5.35472326310985
Insulin processing	36	0.72	1.16128008188009
RORA activates circadian gene expression	50	1	1.22890360957752
APOBEC3G mediated resistance to HIV-1 infection	6	0.12	0.435187034620795
Activation of Nicotinic Acetylcholine Receptors	24	0.48	0.886174995386904
Glutamate Neurotransmitter Release Cycle	36	0.72	1.1255837487767
TGFBR1 LBD Mutants in Cancer	73	1.46	1.99192246386269
S Phase	174	3.48	5.19120134733488
Transport of Mature mRNA derived from an Intron-Containing Transcript	74	1.48	1.98195945097424
Loss of Nlp from mitotic centrosomes	69	1.38	1.90477380948661
Cyclin A:Cdk2-associated events at S phase entry	98	1.96	2.79182480006997
Nuclear Pore Complex (NPC) Disassembly	52	1.04	1.42799988566855
Endogenous sterols	30	0.6	0.947607082958686
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	16	0.32	0.586932530976404
Disinhibition of SNARE formation	1	0.02	0.14142135623731
