TCGA-G9-6332,,,,,,,,,,,,
"Prostate Adenocarcinoma, Gleason 7",,,,,,,,,,,,
Primary,,,,,,,,,,,,
,ACTA2,10q23.3,HOMDEL,10%,6.90%,,,,,,,
,ADHFE1,8q13.1,AMP,83%,4.90%,,,,,,,
,ANKRD22,10q23.31,HOMDEL,1%,8.10%,,,,,,,
,ARFGEF1,8q13,AMP,64%,5.30%,,,,,,,
,ARMC1,8q13.1,AMP,34%,3.70%,,,,,,,
,ASPH,8q12.1,AMP,66%,3.30%,,,,,,,
,ATAD1,10q23.31,HOMDEL,0%,12.20%,,,,,,,
,ATP6V0D2,,AMP,27%,4.90%,,,,,,,
,ATP6V1H,8q11.2,AMP,59%,3.70%,,,,,,,
,BHLHE22,8q13,AMP,4%,3.30%,,,,,,,
,C8ORF22,8q11,AMP,68%,3.70%,,,,,,,
,C8ORF34,8q13,AMP,91%,4.50%,,,,,,,
,C8ORF44,8q13.1,AMP,51%,4.90%,,,,,,,
,C8ORF44-SGK3,,AMP,NA,4.90%,,,,,,,
,C8ORF46,8q13.1,AMP,28%,4.90%,,,,,,,
,C8ORF59,8q21.2,AMP,78%,5.70%,,,,,,,
,CA1,8q21.2,AMP,73%,5.30%,,,,,,,
,CA13,8q21.2,AMP,91%,5.70%,,,,,,,
,CA2,8q22,AMP,3%,4.90%,,,,,,,
,CA3,8q21.2,AMP,53%,4.90%,,,,,,,
,CA8,8q12.1,AMP,88%,3.30%,,,,,,,
,CEBPD,8p11.2-p11.1,AMP,10%,3.30%,,,,,,,
,CFL1P1,10q23.31,HOMDEL,8%,13.00%,,,,,,,
,CH25H,10q23,HOMDEL,16%,4.90%,,,,,,,
,CHCHD7,8q12.1,AMP,27%,3.70%,,,,,,,
,CHD7,8q12.2,AMP,34%,3.30%,,,,,,,
,CHMP4C,8q21.13,AMP,74%,5.70%,,,,,,,
,CLVS1,8q12.3,AMP,43%,3.70%,,,,,,,
,CNBD1,8q21.3,AMP,99%,6.10%,,,,,,,
,CNGB3,8q21.3,AMP,78%,5.70%,,,,,,,
,COPS5,8q13.1,AMP,82%,5.30%,,,,,,,
,CPNE3,8q21.3,AMP,46%,5.70%,,,,,,,
,CRH,8q13,AMP,93%,4.50%,,,,,,,
,CRISPLD1,8q21.11,AMP,47%,4.50%,,,,,,,
,CSPP1,8q13.2,AMP,23%,5.30%,,,,,,,
,CYP7A1,8q11-q12,AMP,34%,3.30%,,,,,,,
,CYP7B1,8q21.3,AMP,17%,3.70%,,,,,,,
,DCAF4L2,8q21.3,AMP,93%,5.30%,,,,,,,
,DNAJC5B,8q13.1,AMP,4%,4.50%,,,,,,,
,E2F5,8q21.2,AMP,71%,5.70%,,,,,,,
,EFCAB1,8q11.21,AMP,2%,3.70%,,,,,,,
,EYA1,8q13.3,AMP,18%,4.10%,,,,,,,
,FABP12,8q21.13,AMP,98%,5.70%,,,,,,,
,FABP4,8q21,AMP,54%,5.70%,,,,,,,
,FABP5,8q21.13,AMP,14%,5.70%,,,,,,,
,FABP9,8q21.13,AMP,99%,5.70%,,,,,,,
,FAM110B,8q12.1,AMP,94%,4.10%,,,,,,,
,FAM150A,8q11.23,AMP,54%,3.30%,,,,,,,
,FAS,10q24.1,HOMDEL,0%,6.10%,,,,,,,
,FAS-AS1,10q24.1,HOMDEL,NA,6.10%,,,,,,,
,FLJ39080,8q21.11,AMP,NA,5.30%,,,,,,,
,GDAP1,8q21.11,AMP,78%,4.90%,,,,,,,
,GGH,8q12.3,AMP,26%,3.30%,,,,,,,
,HEY1,8q21,AMP,62%,5.70%,,,,,,,
,HGSNAT,8p11.1,AMP,43%,2.80%,,,,,,,
,HNF4G,8q21.11,AMP,45%,4.50%,,,,,,,
,IL7,8q12-q13,AMP,43%,5.30%,,,,,,,
,IMPA1,8q21.13-q21.3,AMP,52%,5.70%,,,,,,,
,IMPAD1,8q12.1,AMP,4%,4.10%,,,,,,,
,JPH1,8q21,AMP,78%,4.90%,,,,,,,
,KCNB2,8q13.2,AMP,26%,4.90%,,,,,,,
,KLLN,10q23,HOMDEL,0%,13.40%,,,,,,,
,LACTB2,8q13.3,AMP,67%,4.90%,,,,,,,
,LINC00251,8q13.1,AMP,NA,3.30%,,,,,,,
,LINC00293,8q11.1,AMP,99%,3.70%,,,,,,,
,LINC00588,8q12.1,AMP,97%,3.70%,,,,,,,
,LIPA,10q23.2-q23.3,HOMDEL,8%,4.90%,,,,,,,
,LIPF,10q23.31,HOMDEL,79%,8.90%,,,,,,,
,LIPJ,10q23.31,HOMDEL,35%,11.00%,,,,,,,
,LIPK,10q23.31,HOMDEL,98%,8.90%,,,,,,,
,LIPM,10q23.31,HOMDEL,91%,8.10%,,,,,,,
,LIPN,10q23.31,HOMDEL,84%,8.90%,,,,,,,
,LOC100130298,8q12.2,AMP,NA,2.80%,,,,,,,
,LOC100130301,8q21.11,AMP,NA,4.50%,,,,,,,
,LOC100132891,8q13.3,AMP,NA,4.50%,,,,,,,
,LOC100287846,8q11.21,AMP,NA,3.70%,,,,,,,
,LOC100505676,,AMP,NA,4.90%,,,,,,,
,LOC100505718,,AMP,NA,4.50%,,,,,,,
,LOC100507651,,AMP,NA,4.10%,,,,,,,
,LOC286177,8q12.1,AMP,NA,3.70%,,,,,,,
,LOC286186,8q13.1,AMP,NA,3.70%,,,,,,,
,LOC286189,8q13.1,AMP,NA,4.50%,,,,,,,
,LOC286190,8q13.2,AMP,NA,4.90%,,,,,,,
,LOC392232,8q13.3,AMP,NA,4.50%,,,,,,,
,LOC401463,8q12.3,AMP,47%,3.30%,,,,,,,
,LRRCC1,8q21.2,AMP,42%,5.70%,,,,,,,
,LY96,8q21.11,AMP,0%,4.90%,,,,,,,
,LYN,8q13,AMP,10%,4.10%,,,,,,,
,LYPLA1,8q11.23,AMP,63%,3.70%,,,,,,,
,MAF,16q22-q23,AMP,45%,0.40%,,,,,,,
,MCM4,8q11.2,AMP,16%,3.70%,,,,,,,
,MCMDC2,8q13.1,AMP,76%,5.30%,,,,,,,
,MIR-3149/3149,,AMP,NA,5.70%,,,,,,,
,MIR124-2,8q12.3,AMP,NA,3.30%,,,,,,,
,MIR2052,,AMP,NA,5.30%,,,,,,,
,MIR4470,,AMP,NA,3.30%,,,,,,,
,MIR4679-1,,HOMDEL,NA,5.70%,,,,,,,
,MIR4679-2,,HOMDEL,NA,5.70%,,,,,,,
,MMP16,8q21.3,AMP,5%,5.70%,,,,,,,
,MOS,8q11,AMP,99%,3.70%,,,,,,,
,MRPL15,8q11.2-q13,AMP,80%,3.70%,,,,,,,
,MRPS28,8q21.1-q21.2,AMP,90%,5.70%,,,,,,,
,MSC,8q21,AMP,16%,4.10%,,,,,,,
,MTFR1,8q13.1,AMP,79%,3.70%,,,,,,,
,MYBL1,8q22,AMP,0%,4.90%,,,,,,,
,NCOA2,8q13.3,AMP,21%,4.90%,,,,,,,
,NKAIN3,8q12.3,AMP,92%,3.30%,,,,,,,
,NPBWR1,8p22-q21.13,AMP,53%,4.10%,,,,,,,
,NSMAF,8q12-q13,AMP,82%,2.80%,,,,,,,
,OPRK1,8q11.2,AMP,84%,3.70%,,,,,,,
,OSGIN2,8q21,AMP,38%,5.30%,,,,,,,
,PAG1,8q21.13,AMP,6%,5.70%,,,,,,,
,PCMTD1,8q11.23,AMP,61%,3.30%,,,,,,,
,PDE7A,8q13,AMP,65%,3.70%,,,,,,,
,PENK,8q23-q24,AMP,27%,3.70%,,,,,,,
,PEX2,8q21.1,AMP,77%,5.70%,,,,,,,
,PI15,8q21.11,AMP,65%,4.90%,,,,,,,
,PKIA,8q21.12,AMP,49%,5.30%,,,,,,,
,PLAG1,8q12,AMP,8%,3.70%,,,,,,,
,PMP2,8q21.3-q22.1,AMP,11%,5.70%,,,,,,,
,POMK,8p11.21,AMP,19%,2.80%,,,,,,,
,POTEA,8p11.1,AMP,99%,2.80%,,,,,,,
,PPP1R42,8q13.1,AMP,39%,5.30%,,,,,,,
,PRDM14,8q13.3,AMP,92%,4.90%,,,,,,,
,PREX2,8q13.2,AMP,18%,4.90%,,,,,,,
,PRKDC,8q11,AMP,49%,3.70%,,,,,,,
,PSKH2,8q21.3,AMP,96%,4.90%,,,,,,,
,PTEN,10q23.3,HOMDEL,0%,17.10%,,,,,,,
,PTTG3P,8q13.1,AMP,65%,4.90%,,,,,,,
,PXDNL,8q11.22-q11.23,AMP,75%,3.70%,,,,,,,
,RAB2A,8q12.1,AMP,68%,3.30%,,,,,,,
,RALYL,8q21.2,AMP,22%,6.10%,,,,,,,
,RB1CC1,8q11,AMP,32%,3.70%,,,,,,,
,RDH10,8q21.11,AMP,89%,4.50%,,,,,,,
,REXO1L1P,8q21.2,AMP,91%,4.90%,,,,,,,
,REXO1L2P,8q21.2,AMP,NA,4.90%,,,,,,,
,RGS20,8q11.23,AMP,11%,3.70%,,,,,,,
,RIPK2,8q21,AMP,44%,5.30%,,,,,,,
,RMDN1,8q21.3,AMP,76%,5.70%,,,,,,,
,RNLS,10q23.31,HOMDEL,0%,13.80%,,,,,,,
,RP1,8q12.1,AMP,43%,3.70%,,,,,,,
,RPL7,8q21.11,AMP,77%,4.50%,,,,,,,
,RPS20,8q12,AMP,68%,3.70%,,,,,,,
,RRS1,8q13.1,AMP,93%,4.90%,,,,,,,
,SBF1P1,8q12.1,AMP,29%,4.10%,,,,,,,
,SBSPON,8q21.11,AMP,1%,4.50%,,,,,,,
,SDCBP,8q12,AMP,26%,2.80%,,,,,,,
,SDR16C5,8q12.1,AMP,13%,3.70%,,,,,,,
,SGK3,8q12,AMP,81%,4.90%,,,,,,,
,SLC10A5,8q21.13,AMP,23%,5.70%,,,,,,,
,SLC25A21,14q11.2,HOMDEL,18%,0.40%,,,,,,,
,SLC7A13,8q21.3,AMP,52%,4.90%,,,,,,,
,SLCO5A1,8q13.3,AMP,42%,4.90%,,,,,,,
,SNAI2,8q11,AMP,3%,3.70%,,,,,,,
,SNHG6,8q13|8q13,AMP,58%,5.30%,,,,,,,
,SNORD54,8q12,AMP,NA,3.70%,,,,,,,
,SNORD87,8q13.1,AMP,NA,5.30%,,,,,,,
,SNTG1,8q11-q12,AMP,97%,4.10%,,,,,,,
,SNX16,8q21.13,AMP,32%,5.70%,,,,,,,
,SOX17,8q11.23,AMP,4%,3.70%,,,,,,,
,SPIDR,8q11.21,AMP,27%,3.70%,,,,,,,
,ST18,8q11.23,AMP,12%,3.70%,,,,,,,
,STAMBPL1,10q23.31,HOMDEL,0%,7.30%,,,,,,,
,STAU2,8q21.11,AMP,68%,4.90%,,,,,,,
,STMN2,8q21.13,AMP,34%,6.10%,,,,,,,
,SULF1,8q13.1,AMP,4%,4.90%,,,,,,,
,TCEA1,8q11.2,AMP,79%,3.70%,,,,,,,
,TCEB1,8q21.11,AMP,74%,5.30%,,,,,,,
,TCF24,8q13.1,AMP,NA,5.30%,,,,,,,
,TERF1,8q21.11,AMP,64%,4.50%,,,,,,,
,TGS1,8q11,AMP,21%,4.10%,,,,,,,
,TMEM68,8q12.1,AMP,60%,4.10%,,,,,,,
,TMEM70,8q21.11,AMP,57%,4.90%,,,,,,,
,TOX,8q12.1,AMP,39%,3.70%,,,,,,,
,TPD52,8q21,AMP,76%,5.70%,,,,,,,
,TRAM1,8q13.3,AMP,37%,4.90%,,,,,,,
,TRIM55,8q13.1,AMP,58%,4.50%,,,,,,,
,TRPA1,8q13,AMP,32%,4.50%,,,,,,,
,TTPA,8q12.3,AMP,54%,3.30%,,,,,,,
,UBE2V2,8q11.21,AMP,79%,3.70%,,,,,,,
,UBE2W,8q21.11,AMP,54%,4.90%,,,,,,,
