TCGA-HI-7168,,,,,,,,,,,,
"Prostate Adenocarcinoma, Gleason 9",,,,,,,,,,,,
Primary,,,,,,,,,,,,
,ACTL8,1p36.2-p35,HOMDEL,52%,1.20%,,,,,,,
,ADCK5,8q24.3,AMP,76%,5.70%,,,,,,,
,ADCY8,8q24,AMP,97%,5.30%,,,,,,,
,AGO2,8q24,AMP,85%,5.70%,,,,,,,
,ALDH4A1,1p36,HOMDEL,0%,1.20%,,,,,,,
,ALG1L2,3q22.1,HOMDEL,78%,1.20%,,,,,,,
,ANTXR1,2p13.1,HOMDEL,99%,0.40%,,,,,,,
,ANXA13,8q24.13,AMP,89%,5.70%,,,,,,,
,AP3S1,5q22,HOMDEL,29%,2.00%,,,,,,,
,APLF,2p13.3,HOMDEL,97%,0.40%,,,,,,,
,AQPEP,5q23.1,HOMDEL,91%,2.00%,,,,,,,
,ARC,8q24.3,AMP,90%,5.30%,,,,,,,
,ARHGAP25,2p13.3,HOMDEL,18%,0.40%,,,,,,,
,ARHGAP39,8q24.3,AMP,91%,5.70%,,,,,,,
,ARHGEF10L,1p36.13,HOMDEL,46%,1.20%,,,,,,,
,ASAP1,8q24.1-q24.2,AMP,89%,5.70%,,,,,,,
,ASAP1-IT1,8q24.21,AMP,95%,5.70%,,,,,,,
,ASTE1,3q22.1,HOMDEL,4%,0.80%,,,,,,,
,ATAD2,8q24.13,AMP,71%,5.70%,,,,,,,
,ATG12,5q21-q22,HOMDEL,6%,2.00%,,,,,,,
,ATP2C1,3q22.1,HOMDEL,2%,0.80%,,,,,,,
,BAI1,8q24.3,AMP,71%,5.30%,,,,,,,
,BDP1,5q13,HOMDEL,17%,3.70%,,,,,,,
,BMP10,2p13.3,HOMDEL,95%,0.40%,,,,,,,
,BOP1,8q24.3,AMP,37%,5.70%,,,,,,,
,BREA2,8q24.3,AMP,77%,5.70%,,,,,,,
,C8ORF31,8q24.3,AMP,91%,5.30%,,,,,,,
,C8ORF33,8q24.3,AMP,69%,5.70%,,,,,,,
,C8ORF76,8q24.13,AMP,78%,5.70%,,,,,,,
,C8ORF82,8q24,AMP,82%,5.70%,,,,,,,
,CARTPT,5q13.2,HOMDEL,56%,3.70%,,,,,,,
,CCDC112,5q22.3,HOMDEL,5%,2.00%,,,,,,,
,CCDC166,8q24.3,AMP,79%,5.70%,,,,,,,
,CCNB1,5q12,HOMDEL,20%,4.10%,,,,,,,
,CDO1,5q23.2,HOMDEL,62%,2.00%,,,,,,,
,CENPH,5p15.2,HOMDEL,16%,4.10%,,,,,,,
,CHRAC1,8q24.3,AMP,88%,5.70%,,,,,,,
,COL14A1,8q23,AMP,91%,5.30%,,,,,,,
,COL22A1,8q24.3,AMP,28%,5.30%,,,,,,,
,COL6A4P2,3q22.1,HOMDEL,41%,1.20%,,,,,,,
,COL6A5,3q22.1,HOMDEL,63%,0.80%,,,,,,,
,COL6A6,3q22.1,HOMDEL,59%,1.20%,,,,,,,
,COMMD10,5q23.1,HOMDEL,3%,2.40%,,,,,,,
,COMMD5,8q24.3,AMP,68%,5.70%,,,,,,,
,COQ7,16p12.3,AMP,94%,0.80%,,,,,,,
,CPSF1,8q24.23,AMP,72%,5.70%,,,,,,,
,CYC1,8q24.3,AMP,66%,5.70%,,,,,,,
,CYHR1,8q24.3,AMP,79%,5.70%,,,,,,,
,CYP11B1,8q21,AMP,95%,5.30%,,,,,,,
,CYP11B2,8q21-q22,AMP,97%,5.30%,,,,,,,
,DENND3,8q24.3,AMP,60%,5.70%,,,,,,,
,DEPTOR,8q24.12,AMP,24%,5.30%,,,,,,,
,DERL1,8q24.13,AMP,74%,5.70%,,,,,,,
,DGAT1,8q24.3,AMP,86%,5.70%,,,,,,,
,DMXL1,5q22,HOMDEL,6%,1.60%,,,,,,,
,DSCC1,8q24.12,AMP,77%,4.90%,,,,,,,
,DTWD2,5q23.1,HOMDEL,15%,1.60%,,,,,,,
,EEF1D,8q24.3,AMP,69%,5.70%,,,,,,,
,EFR3A,8q24.22,AMP,26%,5.70%,,,,,,,
,ENPP2,8q24.1,AMP,43%,4.90%,,,,,,,
,EPPK1,8q24.3,AMP,62%,5.70%,,,,,,,
,ERI1,8p23.1,HOMDEL,1%,5.30%,,,,,,,
,EXOSC4,8q24.3,AMP,70%,5.70%,,,,,,,
,FAM135B,8q24.23,AMP,73%,5.30%,,,,,,,
,FAM203A,8q24.3,AMP,90%,5.70%,,,,,,,
,FAM49B,8q24.21,AMP,39%,6.10%,,,,,,,
,FAM83A,8q24.13,AMP,72%,5.70%,,,,,,,
,FAM83H,8q24.3,AMP,79%,5.70%,,,,,,,
,FAM84B,8q24.21,AMP,34%,6.10%,,,,,,,
,FAM86HP,3q22.1,HOMDEL,26%,1.20%,,,,,,,
,FAM91A1,8q24.13,AMP,34%,5.70%,,,,,,,
,FBXL6,8q24.3,AMP,81%,5.70%,,,,,,,
,FBXO32,8q24.13,AMP,84%,5.70%,,,,,,,
,FBXO48,2p13.3,HOMDEL,73%,0.40%,,,,,,,
,FCHO2,5q13.2,HOMDEL,19%,3.70%,,,,,,,
,FEM1C,5q22,HOMDEL,21%,2.00%,,,,,,,
,FER1L6,8q24.1,AMP,45%,5.70%,,,,,,,
,FER1L6-AS1,8q24.13,AMP,NA,5.70%,,,,,,,
,FKBP4,12p13.33,AMP,27%,0.80%,,,,,,,
,FOXH1,8q24.3,AMP,88%,5.70%,,,,,,,
,GABRB2,5q34,HOMDEL,86%,0.80%,,,,,,,
,GKN1,2p13.3,HOMDEL,93%,0.40%,,,,,,,
,GKN2,2p13.3,HOMDEL,83%,0.40%,,,,,,,
,GLI4,8q24.3,AMP,84%,5.70%,,,,,,,
,GML,8q24.3,AMP,96%,5.30%,,,,,,,
,GPAA1,8q24.3,AMP,45%,5.70%,,,,,,,
,GPIHBP1,8q24.3,AMP,96%,5.70%,,,,,,,
,GPR20,8q24.3,AMP,85%,5.70%,,,,,,,
,GPT,8q24.3,AMP,38%,5.70%,,,,,,,
,GRINA,8q24.3,AMP,87%,5.70%,,,,,,,
,GSDMC,8q24.21,AMP,25%,6.10%,,,,,,,
,GSDMD,8q24.3,AMP,49%,5.70%,,,,,,,
,GTF2H2,5q13.2,HOMDEL,31%,4.10%,,,,,,,
,GTF2H2B,5q13.2,HOMDEL,63%,4.10%,,,,,,,
,GTF2H2C,5q13.2,HOMDEL,10%,4.10%,,,,,,,
,GTF2H2C_2,5q13.2,HOMDEL,NA,4.10%,,,,,,,
,GUSBP3,5q13.2,HOMDEL,25%,4.10%,,,,,,,
,GUSBP9,5q13.2,HOMDEL,NA,4.10%,,,,,,,
,HAS2,8q24.12,AMP,83%,4.90%,,,,,,,
,HAS2-AS1,8q24.13,AMP,76%,4.90%,,,,,,,
,HHLA1,8q24,AMP,92%,5.30%,,,,,,,
,HPYR1,8q24.22,AMP,95%,5.70%,,,,,,,
,HSF1,8q24.3,AMP,89%,5.70%,,,,,,,
,IGSF21,1p36.13,HOMDEL,37%,1.20%,,,,,,,
,ITFG2,12p13.33,AMP,80%,0.80%,,,,,,,
,ITPRIPL2,16p12.3,AMP,52%,0.80%,,,,,,,
,JAK1,1p32.3-p31.3,HOMDEL,44%,2.00%,,,,,,,
,JRK,8q24.3,AMP,49%,5.30%,,,,,,,
,KCNK9,8q24.3,AMP,97%,5.70%,,,,,,,
,KCNN2,5q22.3,HOMDEL,6%,2.40%,,,,,,,
,KCNQ3,8q24,AMP,71%,5.70%,,,,,,,
,KHDRBS3,8q24.2,AMP,73%,6.10%,,,,,,,
,KIAA0196,8q24.13,AMP,24%,6.10%,,,,,,,
,KIAA1875,8q24.3,AMP,75%,5.70%,,,,,,,
,KIFC2,8q24.3,AMP,78%,5.70%,,,,,,,
,KLHDC7A,1p36.13,HOMDEL,17%,1.20%,,,,,,,
,KLHL38,8q24.13,AMP,91%,5.70%,,,,,,,
,LINC00051,8q24.3,AMP,96%,5.70%,,,,,,,
,LOC100133669,8q24.3,AMP,92%,5.30%,,,,,,,
,LOC100272216,,HOMDEL,57%,4.10%,,,,,,,
,LOC100288181,8q24.3,AMP,NA,5.30%,,,,,,,
,LOC283440,12p13.33,AMP,NA,0.80%,,,,,,,
,LOC284661,1p36.32,HOMDEL,78%,0.40%,,,,,,,
,LOC286094,8q24.22,AMP,95%,5.70%,,,,,,,
,LOC647859,5q13.2,HOMDEL,84%,4.10%,,,,,,,
,LOC731779,8q24.3,AMP,94%,5.70%,,,,,,,
,LRRC14,8q24.3,AMP,64%,5.70%,,,,,,,
,LRRC24,8q24.3,AMP,51%,5.70%,,,,,,,
,LRRC6,8q24.22,AMP,80%,5.70%,,,,,,,
,LY6D,8q24,AMP,56%,5.30%,,,,,,,
,LY6E,8q24.3,AMP,82%,5.30%,,,,,,,
,LY6H,8q24.3,AMP,50%,5.70%,,,,,,,
,LY6K,8q24.3,AMP,98%,5.30%,,,,,,,
,LYNX1,8q24.3,AMP,88%,5.30%,,,,,,,
,LYPD2,8q24.3,AMP,84%,5.30%,,,,,,,
,MAF1,8q24.3,AMP,93%,5.70%,,,,,,,
,MAFA,8q24.3,AMP,54%,6.10%,,,,,,,
,MAP1B,5q13,HOMDEL,93%,3.70%,,,,,,,
,MAPK15,,AMP,64%,5.70%,,,,,,,
,MCC,5q21,HOMDEL,46%,3.30%,,,,,,,
,MCCC2,5q12-q13,HOMDEL,47%,3.70%,,,,,,,
,MFSD3,8q24.3,AMP,16%,5.70%,,,,,,,
,MIR-1244-2/1244,,HOMDEL,NA,1.60%,,,,,,,
,MIR1204,,AMP,NA,5.70%,,,,,,,
,MIR1205,,AMP,NA,5.70%,,,,,,,
,MIR1206,,AMP,NA,5.70%,,,,,,,
,MIR1207,,AMP,NA,5.70%,,,,,,,
,MIR1208,8q24.21,AMP,NA,5.70%,,,,,,,
,MIR1234,,AMP,NA,5.70%,,,,,,,
,MIR1244-1,,HOMDEL,NA,6.10%,,,,,,,
,MIR1244-2,,HOMDEL,NA,6.10%,,,,,,,
,MIR1244-3,,HOMDEL,NA,6.10%,,,,,,,
,MIR30B,8q24.22,AMP,NA,6.10%,,,,,,,
,MIR30D,8q24.22,AMP,NA,6.10%,,,,,,,
,MIR3126,,HOMDEL,NA,0.40%,,,,,,,
,MIR4472-1,,AMP,NA,5.70%,,,,,,,
,MIR4663,,AMP,NA,5.70%,,,,,,,
,MIR4664,,AMP,NA,5.70%,,,,,,,
,MIR4695,,HOMDEL,NA,1.20%,,,,,,,
,MIR4803,,HOMDEL,NA,3.70%,,,,,,,
,MIR4804,,HOMDEL,NA,3.70%,,,,,,,
,MIR661,8q24.3,AMP,NA,5.70%,,,,,,,
