	Su2C					TCGA							
Post-translational protein modification	59	5.363636364	7.965836143		43	3.909090909	6.284179269	11		Su2C	0	1	Su2C
Interferon Signaling	28	2.545454545	1.916436086		25	2.272727273	3.101319367	11		Su2C	0	1	Su2C
Rho GTPase cycle	31	2.818181818	2.926369143		20	1.818181818	2.442055766	11		Su2C	0	1	Su2C
Signaling by Rho GTPases	31	2.818181818	2.926369143		20	1.818181818	2.442055766	11		Su2C	0	1	Su2C
L1CAM interactions	21	1.909090909	1.700267359		19	1.727272727	2.572582714	11		Su2C	0	1	Su2C
Processing of Capped Intron-Containing Pre-mRNA	20	1.818181818	1.167748416		17	1.545454545	2.621588693	11		Su2C	0	1	Su2C
Factors involved in megakaryocyte development and platelet production	21	1.909090909	1.445997611		16	1.454545455	2.544155513	11		Su2C	0	1	Su2C
mRNA Splicing	16	1.454545455	1.293339581		15	1.363636364	2.15743956	11		Su2C	0	1	Su2C
mRNA Splicing - Major Pathway	16	1.454545455	1.293339581		15	1.363636364	2.15743956	11		Su2C	0	1	Su2C
O-linked glycosylation of mucins	36	3.272727273	7.925792189		15	1.363636364	1.858640755	11		Su2C	0	1	Su2C
Assembly of collagen fibrils and other multimeric structures	16	1.454545455	1.035725481		14	1.272727273	2.101947149	11		Su2C	0	1	Su2C
Interferon alpha/beta signaling	16	1.454545455	1.634847783		14	1.272727273	1.848832555	11		Su2C	0	1	Su2C
Fcgamma receptor (FCGR) dependent phagocytosis	16	1.454545455	1.507556723		13	1.181818182	1.53741223	11		Su2C	0	1	Su2C
p75 NTR receptor-mediated signalling	23	2.090909091	1.375103302		13	1.181818182	1.721521526	11		Su2C	0	1	Su2C
Antiviral mechanism by IFN-stimulated genes	14	1.272727273	1.190874392		12	1.090909091	1.578261414	11		Su2C	0	1	Su2C
ISG15 antiviral mechanism	14	1.272727273	1.190874392		12	1.090909091	1.578261414	11		Su2C	0	1	Su2C
Nuclear Receptor transcription pathway	14	1.272727273	1.190874392		12	1.090909091	1.221027883	11		Su2C	0	1	Su2C
"PTM: gamma carboxylation, hypusine formation and arylsulfatase activation"	12	1.090909091	1.513574937		10	0.909090909	1.921173884	11		Su2C	0	1	Su2C
G alpha (12/13) signalling events	16	1.454545455	1.12815215		10	0.909090909	1.513574937	11		Su2C	0	1	Su2C
Termination of O-glycan biosynthesis	35	3.181818182	7.94755537		10	0.909090909	1.300349603	11		Su2C	0	1	Su2C
Regulation of actin dynamics for phagocytic cup formation	10	0.909090909	0.831209415		9	0.818181818	1.07871978	11		Su2C	0	1	Su2C
Striated Muscle Contraction	13	1.181818182	2.442055766		8	0.727272727	0.646669791	11		Su2C	0	1	Su2C
"Cell death signalling via NRAGE, NRIF and NADE"	18	1.636363636	0.924416278		8	0.727272727	1.272077756	11		Su2C	0	1	Su2C
Caspase-8 activation	8	0.727272727	0.467099366		7	0.636363636	0.809039835	11		Su2C	0	1	Su2C
Death Receptor  Signalling	8	0.727272727	0.467099366		7	0.636363636	0.809039835	11		Su2C	0	1	Su2C
Dimerization of procaspase-8	8	0.727272727	0.467099366		7	0.636363636	0.809039835	11		Su2C	0	1	Su2C
Extrinsic Pathway for Apoptosis	8	0.727272727	0.467099366		7	0.636363636	0.809039835	11		Su2C	0	1	Su2C
Regulation by c-FLIP	8	0.727272727	0.467099366		7	0.636363636	0.809039835	11		Su2C	0	1	Su2C
Tight junction interactions	10	0.909090909	1.136181804		7	0.636363636	1.206045378	11		Su2C	0	1	Su2C
Metabolism of steroid hormones and vitamin D	12	1.090909091	1.445997611		7	0.636363636	0.924416278	11		Su2C	0	1	Su2C
Steroid hormones	12	1.090909091	1.445997611		7	0.636363636	0.924416278	11		Su2C	0	1	Su2C
Triglyceride Biosynthesis	7	0.636363636	1.206045378		6	0.545454545	0.820199532	11		Su2C	0	1	Su2C
