
run JonDownReg.csv-Tue Jul  1 12:18:29 2014
NADE modulates death signalling,0
Chaperonin-mediated protein folding,0
mRNA Editing: C to U Conversion,0
Vitamin B5 (pantothenate) metabolism,0
Packaging of Eight RNA Segments,0
Inhibition of IFN-beta,0
Acrosome Reaction,0
Telomere C-strand synthesis initiation,7
Defective CUBN causes hereditary megaloblastic anemia 1,4
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,0
Adaptive Immune System,8
Generation of second messenger molecules,0
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,3
Defects in cobalamin (B12) metabolism,4
Keratan sulfate degradation,0
Synthesis of PIPs at the late endosome membrane,0
DNA strand elongation,26
vRNA Synthesis,0
Metabolism of serotonin,0
Nef Mediated CD8 Down-regulation,0
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE,4
Activation of Chaperones by IRE1alpha,0
NOSIP mediated eNOS trafficking,0
Innate Immune System,11
FGFR2b ligand binding and activation,0
Loss of Function of TGFBR1 in Cancer,3
Metabolism of porphyrins,0
G2 Phase,6
C6 deamination of adenosine,0
ISG15 antiviral mechanism,0
Formation of apoptosome,0
Reactions specific to the hybrid N-glycan synthesis pathway,0
Passive Transport by Aquaporins,0
G alpha (12/13) signalling events,2
MyD88 dependent cascade initiated on endosome,2
NGF processing,0
Synthesis of PG,0
CD28 dependent Vav1 pathway,0
Interactions of Rev with host cellular proteins,0
Amino acid transport across the plasma membrane,0
Transmission across Chemical Synapses,7
Activation of Nicotinic Acetylcholine Receptors,0
APOBEC3G mediated resistance to HIV-1 infection,0
TGFBR1 LBD Mutants in Cancer,3
Glutamate Neurotransmitter Release Cycle,0
Transport of Mature mRNA derived from an Intron-Containing Transcript,0
S Phase,42
Loss of Nlp from mitotic centrosomes,0
Cyclin A:Cdk2-associated events at S phase entry,8
Nuclear Pore Complex (NPC) Disassembly,0
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0
Endogenous sterols,3
Oligomerization of connexins into connexons,0
Disinhibition of SNARE formation,0
Interleukin-7 signaling,0
NOD1/2 Signaling Pathway,2
Interleukin-2 signaling,0
STAT6-mediated induction of chemokines,0
G-protein activation,2
Signaling by Wnt,0
Regulation of Insulin Secretion by Fatty Acids Bound to GPR40 (FFAR1),0
Release of apoptotic factors from the mitochondria,0
