MO_1128-Tumor,,,,,,,,,,,,
CRPC,,,,,,,,,,,,
Lymph Node,,,,,,,,,,,,
,ACTN3,11q13.1,AMP,66%,1.80%,,,,,,,
,ACY3,11q13.2,AMP,NA,4.70%,,,,,,,
,ADRBK1,11q13.1,AMP,100%,6.50%,,,,,,,
,AIMP2,7p22,AMP,96%,9.40%,,,,,,,
,AIP,11q13.3,AMP,100%,5.30%,,,,,,,
,ALDH3B1,11q13,AMP,94%,4.70%,,,,,,,
,ALDH3B2,11q13,AMP,86%,4.70%,,,,,,,
,ANAPC1,2q12.1,AMP,94%,27.60%,,,,,,,
,ANKRD13D,11q13.2,AMP,100%,5.90%,,,,,,,
,ANKRD20A9P,13q11,HOMDEL,NA,10.60%,,,,,,,
,ANKRD26P3,13q12.11,HOMDEL,NA,10.60%,,,,,,,
,ANO1,11q13.3,AMP,96%,5.90%,,,,,,,
,BBS1,11q13,AMP,NA,1.80%,,,,,,,
,C11ORF24,11q13,AMP,100%,4.70%,,,,,,,
,C11ORF80,11q13.2,AMP,100%,2.40%,,,,,,,
,C11ORF86,11q13.2,AMP,NA,2.90%,,,,,,,
,C6ORF57,6q13,HOMDEL,2%,1.80%,,,,,,,
,C7ORF26,7p22.1,AMP,50%,7.60%,,,,,,,
,CABP2,11q13.1,AMP,NA,4.70%,,,,,,,
,CABP4,11q13.2,AMP,NA,4.10%,,,,,,,
,CARNS1,11q13.2,AMP,98%,5.90%,,,,,,,
,CCDC87,11q13.2,AMP,NA,1.80%,,,,,,,
,CCND1,11q13,AMP,100%,8.80%,,,,,,,
,CCS,11q13,AMP,98%,1.80%,,,,,,,
,CCZ1,7p22.1,AMP,74%,7.60%,,,,,,,
,CCZ1B,7p22.1,AMP,70%,4.10%,,,,,,,
,CDK2AP2,11q13,AMP,100%,5.30%,,,,,,,
,CHKA,11q13.2,AMP,100%,3.50%,,,,,,,
,CLCF1,11q13.3,AMP,100%,5.90%,,,,,,,
,CORO1B,11q13.2,AMP,100%,5.90%,,,,,,,
,CPT1A,11q13.2,AMP,80%,5.90%,,,,,,,
,CTSF,11q13,AMP,68%,1.80%,,,,,,,
,CYTH3,7p22.1,AMP,90%,12.90%,,,,,,,
,DAGLB,7p22.1,AMP,78%,10.60%,,,,,,,
,DOC2GP,11q13.2,AMP,NA,4.70%,,,,,,,
,DOPEY1,6q15,HOMDEL,6%,2.90%,,,,,,,
,DPP3,11q12-q13.1,AMP,100%,1.80%,,,,,,,
,EIF2AK1,7p22,AMP,88%,9.40%,,,,,,,
,FADD,11q13.3,AMP,100%,4.70%,,,,,,,
,FAM135A,6q13,HOMDEL,2%,1.80%,,,,,,,
,FAM220A,7p22.1,AMP,92%,11.20%,,,,,,,
,FAM86C2P,11q13.2,AMP,NA,4.70%,,,,,,,
,FGF19,11q13.1,AMP,NA,6.50%,,,,,,,
,FGF3,11q13,AMP,NA,6.50%,,,,,,,
,FGF4,11q13.3,AMP,NA,6.50%,,,,,,,
,FOLH1,11p11.2,AMP,36%,7.10%,,,,,,,
,GAL,11q13.3,AMP,38%,4.70%,,,,,,,
,GATSL2,7q11.23,AMP,92%,21.80%,,,,,,,
,GPR152,11q13.2,AMP,NA,5.30%,,,,,,,
,GRID2IP,7p22.1,AMP,NA,7.60%,,,,,,,
,GSTP1,11q13,AMP,72%,4.70%,,,,,,,
,GTF2I,7q11.23,AMP,26%,22.40%,,,,,,,
,GTF2IRD2,7q11.23,AMP,68%,19.40%,,,,,,,
,GTF2IRD2B,7q11.23,AMP,64%,19.40%,,,,,,,
,IGHMBP2,11q13.3,AMP,98%,5.90%,,,,,,,
,KDELR2,7p22.1,AMP,50%,7.60%,,,,,,,
,KDM2A,11q13.2,AMP,100%,5.30%,,,,,,,
,LINC00421,13q12.11,HOMDEL,NA,10.60%,,,,,,,
,LINC00442,13q12.11,HOMDEL,NA,10.60%,,,,,,,
,LOC100130987,11q13.2,AMP,NA,5.90%,,,,,,,
,LOC100131257,7p22.1,AMP,NA,4.10%,,,,,,,
,LOC440040,11p11.12,AMP,NA,6.50%,,,,,,,
,LOC441601,11p11.12,AMP,NA,4.70%,,,,,,,
,LOC646813,11p11.12,AMP,NA,4.70%,,,,,,,
,LRFN4,11q13.2,AMP,NA,2.40%,,,,,,,
,LRP5,11q13.4,AMP,100%,4.70%,,,,,,,
,MIR-3163/3163,,AMP,NA,2.90%,,,,,,,
,MIR-3164/3164,,AMP,NA,8.80%,,,,,,,
,MIR4691,,AMP,NA,4.70%,,,,,,,
,MRGPRD,11q13.3,AMP,NA,7.60%,,,,,,,
,MRGPRF,11q13.3,AMP,94%,7.60%,,,,,,,
,MRPL21,11q13.3,AMP,100%,5.90%,,,,,,,
,MTL5,11q13.2-q13.3,AMP,100%,4.70%,,,,,,,
,MYEOV,11q13,AMP,30%,8.80%,,,,,,,
,NCF1,7q11.23,AMP,NA,21.20%,,,,,,,
,NDUFS8,11q13,AMP,100%,4.70%,,,,,,,
,NDUFV1,11q13,AMP,100%,4.70%,,,,,,,
,NUDT8,11q13.2,AMP,58%,4.70%,,,,,,,
,OCM,7p22.1,AMP,NA,7.60%,,,,,,,
,OR10AG1,11q11,AMP,NA,4.70%,,,,,,,
,OR4A15,11q11,AMP,NA,4.70%,,,,,,,
,OR4A16,11q11,AMP,NA,4.70%,,,,,,,
,OR4A5,11p11.12,AMP,NA,4.70%,,,,,,,
,OR4C11,11q11,AMP,NA,4.70%,,,,,,,
,OR4C12,11p11.12,AMP,NA,6.50%,,,,,,,
,OR4C13,11p11.12,AMP,NA,6.50%,,,,,,,
,OR4C15,11q11,AMP,NA,4.70%,,,,,,,
,OR4C16,11q11,AMP,NA,4.70%,,,,,,,
,OR4C46,11p11.12,AMP,NA,4.70%,,,,,,,
,OR4C6,11q11,AMP,NA,4.70%,,,,,,,
,OR4P4,11q12.1,AMP,NA,4.70%,,,,,,,
,OR4S2,11q11,AMP,NA,4.70%,,,,,,,
,OR5AS1,11q12.1,AMP,NA,4.70%,,,,,,,
,OR5D13,11q11,AMP,NA,4.70%,,,,,,,
,OR5D14,11q11,AMP,NA,4.70%,,,,,,,
,OR5D16,11q11,AMP,NA,4.70%,,,,,,,
,OR5D18,11q11,AMP,NA,4.70%,,,,,,,
,OR5F1,11q12.1,AMP,NA,4.70%,,,,,,,
,OR5I1,11q11,AMP,NA,4.70%,,,,,,,
,OR5J2,11q11,AMP,NA,4.70%,,,,,,,
,OR5L1,11q11,AMP,NA,4.70%,,,,,,,
,OR5L2,11q11,AMP,NA,4.70%,,,,,,,
,OR5T2,11q12.1,AMP,NA,4.70%,,,,,,,
,OR5T3,11q12.1,AMP,NA,4.70%,,,,,,,
,OR5W2,11q11,AMP,NA,4.70%,,,,,,,
,OR7E5P,11q12.1,AMP,NA,4.70%,,,,,,,
,OR8H2,11q12.1,AMP,NA,4.70%,,,,,,,
,OR8H3,11q12.1,AMP,NA,4.70%,,,,,,,
,OR8I2,11q12.1,AMP,NA,4.70%,,,,,,,
,OR8J3,11q12.1,AMP,NA,4.70%,,,,,,,
,OR8K5,11q12.1,AMP,NA,4.70%,,,,,,,
,ORAOV1,11q13.3,AMP,98%,7.10%,,,,,,,
,PC,11q13.4-q13.5,AMP,96%,2.40%,,,,,,,
,PELI3,11q13.2,AMP,100%,2.40%,,,,,,,
,PGM3,6q14.1-q15,HOMDEL,82%,2.40%,,,,,,,
,PHF2P1,13q11,HOMDEL,NA,10.60%,,,,,,,
,PITPNM1,11q13,AMP,100%,5.30%,,,,,,,
,PMS2,7p22.2,AMP,86%,8.20%,,,,,,,
,PMS2CL,7p22.1,AMP,62%,7.60%,,,,,,,
,PMS2P3,7q11.23,AMP,58%,7.60%,,,,,,,
,PMS2P5,7q11.23,AMP,76%,20.00%,,,,,,,
,POLD4,11q13,AMP,100%,5.90%,,,,,,,
,POM121C,7q11.2,AMP,92%,10.60%,,,,,,,
,PPP1CA,11q13,AMP,100%,5.90%,,,,,,,
,PPP6R3,11q13,AMP,100%,4.70%,,,,,,,
,PRY,Yq11.223,AMP,NA,15.90%,,,,,,,
,PRY2,Yq11.223,AMP,NA,15.90%,,,,,,,
,PTPRCAP,11q13.3,AMP,48%,5.90%,,,,,,,
,RAC1,7p22,AMP,12%,11.20%,,,,,,,
,RAD9A,11q13.1-q13.2,AMP,100%,5.90%,,,,,,,
,RBM14,11q13.2,AMP,82%,1.80%,,,,,,,
,RBM14-RBM4,11q,AMP,NA,2.40%,,,,,,,
,RBM4,11q13,AMP,NA,2.40%,,,,,,,
,RBM4B,11q13,AMP,100%,2.40%,,,,,,,
,RBMY1B,Yq11.223,AMP,90%,14.10%,,,,,,,
,RBMY1D,Yq11.223,AMP,NA,14.10%,,,,,,,
,RBMY1E,Yq11.223,AMP,92%,15.30%,,,,,,,
,RCE1,11q13,AMP,100%,2.90%,,,,,,,
,RHOD,11q14.3,AMP,12%,3.50%,,,,,,,
,RPS6KB2,11q13.2,AMP,100%,5.90%,,,,,,,
,RSPH10B,7p22.1,AMP,NA,6.50%,,,,,,,
,RSPH10B2,7p22.1,AMP,NA,6.50%,,,,,,,
,SPDYE5,7q11.23,AMP,NA,8.20%,,,,,,,
,SPTBN2,11q13,AMP,100%,2.40%,,,,,,,
,SSH3,11q13.2,AMP,100%,5.90%,,,,,,,
,STAG3L2,7q11.23,AMP,NA,18.20%,,,,,,,
,SUV420H1,11q13.2,AMP,98%,4.10%,,,,,,,
,SYT12,11q13.2,AMP,NA,3.50%,,,,,,,
,TBC1D10C,11q13.2,AMP,42%,5.90%,,,,,,,
,TBX10,11q13.2,AMP,NA,4.70%,,,,,,,
,TCIRG1,11q13.2,AMP,86%,4.70%,,,,,,,
,TMEM134,11q13.2,AMP,100%,4.10%,,,,,,,
,TPCN2,11q13.3,AMP,76%,8.80%,,,,,,,
,TPTE2,13q12.11,HOMDEL,NA,9.40%,,,,,,,
,TRIM48,11q11,AMP,NA,4.70%,,,,,,,
,TRIM51,11q11,AMP,NA,4.70%,,,,,,,
,TTTY6,Yq11.223,AMP,NA,15.90%,,,,,,,
,TTTY6B,Yq11.223,AMP,NA,15.90%,,,,,,,
,TUBA3C,13q11,HOMDEL,NA,10.60%,,,,,,,
,UNC93B1,11q13,AMP,98%,4.70%,,,,,,,
,USP42,7p22.1,AMP,70%,11.80%,,,,,,,
,WBSCR16,7q11.23,AMP,90%,20.60%,,,,,,,
,ZDHHC24,11q13.2,AMP,100%,1.80%,,,,,,,
,ZDHHC4,7p22.1,AMP,78%,7.60%,,,,,,,
,ZNF12,7p22.1,AMP,50%,7.60%,,,,,,,
,ZNF815P,7p22.1,AMP,90%,7.60%,,,,,,,
,ZNF853,7p22.1,AMP,74%,7.60%,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
