TCGA-CH-5741,,,,,,,,,,,,
"Prostate Adenocarcinoma, Gleason 9",,,,,,,,,,,,
Primary,,,,,,,,,,,,
,ACTA2,10q23.3,HOMDEL,1%,6.90%,,,,,,,
,ANKRD22,10q23.31,HOMDEL,0%,8.10%,,,,,,,
,ATAD1,10q23.31,HOMDEL,1%,12.20%,,,,,,,
,CFL1P1,10q23.31,HOMDEL,8%,13.00%,,,,,,,
,CH25H,10q23,HOMDEL,14%,4.90%,,,,,,,
,FAS,10q24.1,HOMDEL,0%,6.10%,,,,,,,
,FAS-AS1,10q24.1,HOMDEL,NA,6.10%,,,,,,,
,FLJ37201,10q23.31,HOMDEL,0%,3.70%,,,,,,,
,HELB,12q14.3|12q,AMP,94%,0.80%,,,,,,,
,IFIT1,10q23.31,HOMDEL,3%,4.10%,,,,,,,
,IFIT1B,10q23.31,HOMDEL,80%,4.10%,,,,,,,
,IFIT2,10q23.31,HOMDEL,5%,4.10%,,,,,,,
,IFIT3,10q24,HOMDEL,4%,4.10%,,,,,,,
,IFIT5,10q23.31,HOMDEL,0%,4.10%,,,,,,,
,IRAK3,12q14.3,AMP,35%,0.80%,,,,,,,
,KIF20B,10q23.31,HOMDEL,0%,3.70%,,,,,,,
,KLLN,10q23,HOMDEL,1%,13.40%,,,,,,,
,LIPA,10q23.2-q23.3,HOMDEL,1%,4.90%,,,,,,,
,LIPF,10q23.31,HOMDEL,79%,8.90%,,,,,,,
,LIPJ,10q23.31,HOMDEL,35%,11.00%,,,,,,,
,LIPK,10q23.31,HOMDEL,98%,8.90%,,,,,,,
,LIPM,10q23.31,HOMDEL,91%,8.10%,,,,,,,
,LIPN,10q23.31,HOMDEL,84%,8.90%,,,,,,,
,LLPH,12q14.3,AMP,93%,0.80%,,,,,,,
,MINPP1,10q23,HOMDEL,0%,7.30%,,,,,,,
,MIR-107/107,,HOMDEL,NA,3.70%,,,,,,,
,MIR107,10q23.31,HOMDEL,NA,3.70%,,,,,,,
,MIR4678,,HOMDEL,NA,6.50%,,,,,,,
,MIR4679-1,,HOMDEL,NA,5.70%,,,,,,,
,MIR4679-2,,HOMDEL,NA,5.70%,,,,,,,
,PANK1,10q23.31,HOMDEL,1%,3.70%,,,,,,,
,PAPSS2,10q24,HOMDEL,1%,9.30%,,,,,,,
