MO_1179-Tumor,,,,,,,,,,,,
CRPC,,,,,,,,,,,,
bone,,,,,,,,,,,,
,A4GNT,3p14.3,AMP,NA,2.90%,,,,,,,
,AAA1,19q13,AMP,NA,1.20%,,,,,,,
,AAMDC,11q14.1,AMP,30%,1.20%,,,,,,,
,ABCA11P,4p16.3,AMP,12%,1.80%,,,,,,,
,ABCA13,7p12.3,AMP,86%,1.80%,,,,,,,
,ABCB5,7p21.1,AMP,34%,1.20%,,,,,,,
,ABCB9,12q24,AMP,14%,1.80%,,,,,,,
,ABHD11,7q11.23,AMP,18%,2.40%,,,,,,,
,ABHD12,20p11.21,AMP,14%,2.40%,,,,,,,
,ABHD16B,20q13.33,AMP,10%,4.10%,,,,,,,
,ABLIM3,5q32,AMP,30%,1.80%,,,,,,,
,ABTB1,3q21,AMP,52%,1.80%,,,,,,,
,ACAD9,3q21.3,AMP,6%,1.80%,,,,,,,
,ACP6,1q21,AMP,18%,2.40%,,,,,,,
,ACSS1,20p11.23-p11.21,AMP,14%,2.40%,,,,,,,
,ACTB,7p22,AMP,24%,3.50%,,,,,,,
,ACTN1,14q24|14q22-q24,AMP,20%,1.20%,,,,,,,
,ACTN3,11q13.1,AMP,18%,1.80%,,,,,,,
,ACY3,11q13.2,AMP,NA,4.70%,,,,,,,
,ADAM15,1q21.3,AMP,8%,4.70%,,,,,,,
,ADAM19,5q33.3,AMP,58%,1.80%,,,,,,,
,ADAM6,14q32.33,AMP,NA,4.70%,,,,,,,
,ADAM8,10q26.3,AMP,56%,1.80%,,,,,,,
,ADAMTSL4,1q21.3,AMP,42%,6.50%,,,,,,,
,ADAP1,7p22.3,AMP,NA,5.90%,,,,,,,
,ADAR,1q21.3,AMP,6%,4.10%,,,,,,,
,ADCY1,7p13-p12,AMP,14%,1.80%,,,,,,,
,ADCYAP1R1,7p14,AMP,24%,2.40%,,,,,,,
,ADD1,4p16.3,AMP,12%,1.80%,,,,,,,
,ADRA1B,5q33.3,AMP,68%,1.80%,,,,,,,
,ADRBK1,11q13.1,AMP,10%,6.50%,,,,,,,
,ADRM1,20q13.33,AMP,6%,5.30%,,,,,,,
,ADSSL1,14q32.33,AMP,8%,2.90%,,,,,,,
,AEBP1,7p13,AMP,42%,3.50%,,,,,,,
,AFAP1L1,5q32,AMP,74%,2.40%,,,,,,,
,AGMO,7p21.2,AMP,NA,0.60%,,,,,,,
,AGPAT5,8p23.1,AMP,32%,1.20%,,,,,,,
,AGR2,7p21.3,AMP,NA,1.20%,,,,,,,
,AGR3,7p21.1,AMP,NA,1.20%,,,,,,,
,AHNAK2,14q32.33,AMP,22%,3.50%,,,,,,,
,AHR,7p15,AMP,50%,0.60%,,,,,,,
,AHRR,5p15.3,AMP,22%,4.10%,,,,,,,
,AIMP2,7p22,AMP,6%,9.40%,,,,,,,
,AIP,11q13.3,AMP,10%,5.30%,,,,,,,
,AKT1,14q32.32,AMP,12%,2.90%,,,,,,,
,ALDH1L1,3q21.3,AMP,NA,2.90%,,,,,,,
,ALDH3B1,11q13,AMP,68%,4.70%,,,,,,,
,ALDH3B2,11q13,AMP,18%,4.70%,,,,,,,
,ALG1L,3q21.2,AMP,NA,1.20%,,,,,,,
,ALS2CL,3p21.31,AMP,NA,1.20%,,,,,,,
,AMER3,2q21.1,AMP,NA,2.40%,,,,,,,
,AMPH,7p14-p13,AMP,46%,1.20%,,,,,,,
,AMZ1,7p22.3,AMP,NA,5.30%,,,,,,,
,ANAPC1,2q12.1,AMP,4%,27.60%,,,,,,,
,ANAPC15,11q13.4,AMP,4%,0.60%,,,,,,,
,ANGPT2,8p23.1,AMP,24%,1.20%,,,,,,,
,ANKHD1,5q31.3,AMP,8%,0.60%,,,,,,,
,ANKHD1-EIF4EBP3,5q31.3,AMP,NA,0.60%,,,,,,,
,ANKMY2,7p21,AMP,4%,1.20%,,,,,,,
,ANKRD13D,11q13.2,AMP,20%,5.90%,,,,,,,
,ANKRD20A9P,13q11,AMP,NA,23.50%,,,,,,,
,ANKRD26P3,13q12.11,AMP,NA,23.50%,,,,,,,
