PROS10448-SUTC.01115092-Tumor-SM-4JC74,,,,,,,,,,,
CRPC,,,,,,,,,,,
Lymph Node,,,,,,,,,,,
,AA06,17q12,AMP,0.60%,,,,,,,
,ACE2,Xp22,AMP,4.10%,,,,,,,
,ACOT9,Xp22.11,AMP,4.10%,,,,,,,
,ACTR3B,7q36.1,AMP,2.40%,,,,,,,
,ADCK2,7q34,AMP,1.80%,,,,,,,
,ADCY8,8q24,AMP,8.80%,,,,,,,
,AFF2,Xq28,AMP,1.20%,,,,,,,
,AGBL3,7q33,AMP,1.80%,,,,,,,
,AGK,7q34,AMP,1.20%,,,,,,,
,AGO2,8q24,AMP,11.20%,,,,,,,
,AKR1B1,7q35,AMP,1.80%,,,,,,,
,AKR1B10,7q33,AMP,1.80%,,,,,,,
,AKR1B15,7q33,AMP,1.80%,,,,,,,
,AKR1D1,7q32-q33,AMP,0.60%,,,,,,,
,AMELX,Xp22.31-p22.1,AMP,4.10%,,,,,,,
,ANXA13,8q24.13,AMP,11.20%,,,,,,,
,AP1S2,Xp22.2,AMP,4.10%,,,,,,,
,APOO,Xp22.11,AMP,4.70%,,,,,,,
,APOOL,Xq21.1,AMP,0.60%,,,,,,,
,AR,Xq12,AMP,25.90%,,,,,,,
,ARHGAP6,Xp22.3,AMP,3.50%,,,,,,,
,ARHGEF35,7q35,AMP,1.80%,,,,,,,
,ARHGEF5,7q35,AMP,1.80%,,,,,,,
,ARL13A,Xq22.1,AMP,0.60%,,,,,,,
,ARMCX1,Xq21.33-q22.2,AMP,0.60%,,,,,,,
,ARMCX2,Xq21.33-q22.2,AMP,0.60%,,,,,,,
,ARMCX3,Xq22.1,AMP,0.60%,,,,,,,
,ARMCX4,Xq22.1,AMP,0.60%,,,,,,,
,ARMCX5,Xq22.1-q22.3,AMP,0.60%,,,,,,,
,ARMCX5-GPRASP2,Xq22.1,AMP,0.60%,,,,,,,
,ARMCX6,Xq21.33-q22.3,AMP,0.60%,,,,,,,
,ARSD,Xp22.3,AMP,3.50%,,,,,,,
,ARSE,Xp22.3,AMP,3.50%,,,,,,,
,ARSF,Xp22.3,AMP,3.50%,,,,,,,
,ARSH,Xp22.33,AMP,3.50%,,,,,,,
,ARX,Xp21.3,AMP,4.10%,,,,,,,
,ASAP1,8q24.1-q24.2,AMP,8.80%,,,,,,,
,ASAP1-IT1,8q24.21,AMP,8.80%,,,,,,,
,ASB11,Xp22.31,AMP,4.10%,,,,,,,
,ASB9,Xp22.2,AMP,4.10%,,,,,,,
,ASIC2,17q12,AMP,0.60%,,,,,,,
,ATAD2,8q24.13,AMP,9.40%,,,,,,,
,ATG4A,Xq22.1-q22.3,AMP,0.60%,,,,,,,
,ATP6AP2,Xp11.4,AMP,2.90%,,,,,,,
,ATP6V0A4,7q34,AMP,0.60%,,,,,,,
,ATXN3L,Xp22.2,AMP,4.70%,,,,,,,
,BCOR,Xp11.4,AMP,2.90%,,,,,,,
,BEND2,Xp22.13,AMP,4.70%,,,,,,,
,BET1,7q21.1-q22,AMP,1.20%,,,,,,,
,BEX1,Xq22.1|Xq22,AMP,0.60%,,,,,,,
,BEX2,Xq22,AMP,0.60%,,,,,,,
,BEX4,Xq22.1-q22.3,AMP,0.60%,,,,,,,
,BEX5,Xq22.1,AMP,2.40%,,,,,,,
,BHLHB9,Xq23,AMP,0.60%,,,,,,,
