MO_1008-Tumor Bone,,,,,,,
CRPC,,,,,,,
bone,,,,,,,
,ADAM15,1q21.3,AMP,4.70%,,,
,ADAR,1q21.3,AMP,4.10%,,,
,ADCK5,8q24.3,AMP,12.40%,,,
,ADCY8,8q24,AMP,8.80%,,,
,ADCY9,16p13.3,AMP,2.40%,,,
,AGO2,8q24,AMP,11.20%,,,
,ANXA13,8q24.13,AMP,11.20%,,,
,AQP10,1q21.3,AMP,5.30%,,,
,ARC,8q24.3,AMP,13.50%,,,
,ARFGEF1,8q13,AMP,11.20%,,,
,ARHGAP39,8q24.3,AMP,12.40%,,,
,ARHGEF28,5q13.2,HOMDEL,0.60%,,,
,ASAP1,8q24.1-q24.2,AMP,8.80%,,,
,ASAP1-IT1,8q24.21,AMP,8.80%,,,
,ASH1L,1q22,AMP,3.50%,,,
,ATP8B2,1q21.3,AMP,5.30%,,,
,BAI1,8q24.3,AMP,13.50%,,,
,BIRC8,,AMP,0.60%,,,
,BOP1,8q24.3,AMP,12.40%,,,
,BREA2,8q24.3,AMP,13.50%,,,
,C16ORF90,16p13.3,AMP,2.40%,,,
,C16ORF96,16p13.3,AMP,3.50%,,,
,C1ORF189,1q21.3,AMP,5.30%,,,
,C1ORF43,1q21.2,AMP,5.30%,,,
,C1ORF68,1q21.3,AMP,6.50%,,,
,C8ORF31,8q24.3,AMP,12.40%,,,
,C8ORF33,8q24.3,AMP,12.40%,,,
,C8ORF34,8q13,AMP,10.60%,,,
,C8ORF44-SGK3,,AMP,9.40%,,,
,C8ORF82,8q24,AMP,12.40%,,,
,CACNA1E,1q25.3,HOMDEL,0.60%,,,
,CCDC166,8q24.3,AMP,13.50%,,,
,CCDC59,12q21.31,HOMDEL,0.60%,,,
,CCDC64B,16p13.3,AMP,5.30%,,,
,CDIP1,16p13.3,AMP,2.90%,,,
,CECR2,22q11.2,HOMDEL,1.20%,,,
,CHRAC1,8q24.3,AMP,11.20%,,,
,CHRNB2,1q21.3,AMP,4.10%,,,
,CHTOP,1q21.3,AMP,4.70%,,,
,CKS1B,1q21.2,AMP,5.30%,,,
,CLDN6,16p13.3,AMP,5.90%,,,
,CLDN9,16p13.3,AMP,5.90%,,,
,CLK2,1q21,AMP,3.50%,,,
,CLUAP1,16p13.3,AMP,2.40%,,,
,COL21A1,6p12.3-p11.2|6p12.3-p11.2,HOMDEL,0.60%,,,
,COL22A1,8q24.3,AMP,10.00%,,,
,COMMD5,8q24.3,AMP,12.40%,,,
,COPS5,8q13.1,AMP,9.40%,,,
,CORO7,16p13.3,AMP,3.50%,,,
,CORO7-PAM16,16p,AMP,3.50%,,,
,CPA6,8q13.2,AMP,11.20%,,,
,CPSF1,8q24.23,AMP,12.40%,,,
,CRCT1,1q21,AMP,7.10%,,,
,CREB3L4,1q21.3,AMP,5.30%,,,
,CREBBP,16p13.3,AMP,2.40%,,,
,CRNN,1q21,AMP,5.30%,,,
,CRTC2,1q21.3,AMP,5.90%,,,
,CSPP1,8q13.2,AMP,9.40%,,,
,CYC1,8q24.3,AMP,13.50%,,,
,CYHR1,8q24.3,AMP,12.40%,,,
,CYP11B1,8q21,AMP,13.50%,,,
,CYP11B2,8q21-q22,AMP,12.90%,,,
,DCST1,1q22,AMP,5.30%,,,
,DCST2,1q22,AMP,5.30%,,,
,DENND3,8q24.3,AMP,13.50%,,,
,DENND4B,1q21,AMP,5.90%,,,
,DGAT1,8q24.3,AMP,12.40%,,,
,DNAJA3,16p13.3,AMP,2.90%,,,
,DNASE1,16p13.3,AMP,2.90%,,,
,DPM3,1q22,AMP,4.70%,,,
,DUX4L4,4q35.2,HOMDEL,0.60%,,,
,EEF1D,8q24.3,AMP,14.10%,,,
,EFNA1,1q21-q22,AMP,4.70%,,,
,EFNA3,1q21-q22,AMP,4.70%,,,
,EFNA4,1q21-q22,AMP,4.70%,,,
,EFR3A,8q24.22,AMP,10.60%,,,
,EPPK1,8q24.3,AMP,14.10%,,,
,ERVV-1,19q13.41,AMP,0.60%,,,
,ERVV-2,,AMP,0.60%,,,
,EXOSC4,8q24.3,AMP,13.50%,,,
,EYA1,8q13.3,AMP,11.80%,,,
,FAM135B,8q24.23,AMP,9.40%,,,
,FAM160B2,8p21.3,HOMDEL,3.50%,,,
,FAM189B,1q21,AMP,4.10%,,,
,FAM197Y2,Yp11.2,HOMDEL,2.40%,,,
,FAM197Y5,Yp11.2,HOMDEL,2.40%,,,
,FAM203A,8q24.3,AMP,12.40%,,,
,FAM49B,8q24.21,AMP,7.60%,,,
,FAM83H,8q24.3,AMP,13.50%,,,
,FAM84B,8q24.21,AMP,11.80%,,,
,FAM91A1,8q24.13,AMP,10.60%,,,
,FBXL6,8q24.3,AMP,12.40%,,,
,FDPS,1q22,AMP,2.90%,,,
,FER1L6,8q24.1,AMP,10.60%,,,
,FER1L6-AS1,8q24.13,AMP,10.60%,,,
,FLAD1,1q21.3,AMP,5.30%,,,
,FLG,1q21.3,AMP,5.30%,,,
,FLG2,1q21.3,AMP,5.30%,,,
,FLJ41941,22q11.21,HOMDEL,1.20%,,,
,FLYWCH1,16p13.3,AMP,4.70%,,,
,FLYWCH2,16p13.3,AMP,4.10%,,,
,FOXH1,8q24.3,AMP,12.40%,,,
,FPR1,19q13.4,AMP,1.20%,,,
,FPR2,19q13.3-q13.4,AMP,1.20%,,,
,FPR3,19q13.3-q13.4,AMP,1.20%,,,
,FRG1,4q35,HOMDEL,0.60%,,,
,FRG2,4q35,HOMDEL,0.60%,,,
,GATAD2B,1q21.3,AMP,4.70%,,,
,GBA,1q21,AMP,4.10%,,,
,GBAP1,1q21,AMP,4.10%,,,
,GDAP1,8q21.11,AMP,12.40%,,,
,GLI4,8q24.3,AMP,11.80%,,,
,GLIS2,16p13.3,AMP,3.50%,,,
,GM140,1q25.3,HOMDEL,0.60%,,,
,GML,8q24.3,AMP,13.50%,,,
,GPAA1,8q24.3,AMP,13.50%,,,
,GPIHBP1,8q24.3,AMP,11.80%,,,
,GPR20,8q24.3,AMP,14.70%,,,
,GPT,8q24.3,AMP,12.40%,,,
,GRINA,8q24.3,AMP,14.10%,,,
,GSDMC,8q24.21,AMP,8.20%,,,
,GSDMD,8q24.3,AMP,14.10%,,,
,HAS1,19q13.4,AMP,1.20%,,,
,HAX1,1q21.3,AMP,5.30%,,,
,HCFC1R1,16p13.3,AMP,5.90%,,,
,HCN3,1q22,AMP,4.10%,,,
,HHLA1,8q24,AMP,10.60%,,,
,HMOX2,16p13.3,AMP,2.90%,,,
,HPYR1,8q24.22,AMP,10.60%,,,
,HRNR,1q21.3,AMP,5.30%,,,
,HSF1,8q24.3,AMP,12.40%,,,
,HSP90AA4P,4q35.2,HOMDEL,0.60%,,,
,IER5,1q25.3,HOMDEL,0.60%,,,
,IL32,16p13.3,AMP,5.30%,,,
,IL6R,1q21,AMP,5.30%,,,
,ILF2,1q21.3,AMP,5.30%,,,
,INTS3,1q21.3,AMP,5.90%,,,
,IVL,1q21,AMP,5.30%,,,
,JPH1,8q21,AMP,12.40%,,,
,JRK,8q24.3,AMP,13.50%,,,
,JTB,1q21,AMP,5.30%,,,
,KCNB2,8q13.2,AMP,14.10%,,,
,KCNK9,8q24.3,AMP,11.20%,,,
,KCNN3,1q21.3,AMP,4.10%,,,
,KCNQ3,8q24,AMP,10.00%,,,
,KHDRBS3,8q24.2,AMP,10.60%,,,
,KIAA0196,8q24.13,AMP,10.60%,,,
,KIAA1244,6q23.3,HOMDEL,1.80%,,,
,KIAA1875,8q24.3,AMP,12.40%,,,
,KIFC2,8q24.3,AMP,12.40%,,,
,KIR3DX1,19q13.42,AMP,1.20%,,,
,KPRP,1q21.3,AMP,6.50%,,,
,KREMEN2,16p13.3,AMP,5.30%,,,
,KRTAP10-1,21q22.3,AMP,2.40%,,,
,KRTAP10-10,21q22.3,AMP,2.40%,,,
,KRTAP10-11,21q22.3,AMP,2.40%,,,
,KRTAP10-12,21q22.3,AMP,2.40%,,,
,KRTAP10-2,21q22.3,AMP,2.40%,,,
,KRTAP10-3,21q22.3,AMP,2.40%,,,
,KRTAP10-4,21q22.3,AMP,2.40%,,,
,KRTAP10-5,21q22.3,AMP,2.40%,,,
,KRTAP10-6,21q22.3,AMP,2.40%,,,
,KRTAP10-7,21q22.3,AMP,2.40%,,,
,KRTAP10-8,21q22.3,AMP,2.40%,,,
,KRTAP10-9,21q22.3,AMP,2.40%,,,
,KRTAP12-1,21q22.3,AMP,2.40%,,,
,KRTAP12-2,21q22.3,AMP,2.40%,,,
,KRTAP12-3,21q22.3,AMP,2.40%,,,
,KRTAP12-4,21q22.3,AMP,2.40%,,,
,KRTCAP2,1q22,AMP,4.70%,,,
,LACTB2,8q13.3,AMP,10.60%,,,
,LCE1A,1q21.3,AMP,5.30%,,,
,LCE1B,1q21.3,AMP,6.50%,,,
,LCE1C,1q21.3,AMP,6.50%,,,
