MO_1013-Tumour,,,,,,,,,,,
CRPC,,,,,,,,,,,
lymph node,,,,,,,,,,,
,AARD,8q24.11,AMP,7.60%,,,,,,,
,ACAP2,3q29,AMP,2.90%,,,,,,,
,ACTL6A,3q26.33,AMP,4.10%,,,,,,,
,ACTRT3,3q26.2,AMP,5.90%,,,,,,,
,ADCK5,8q24.3,AMP,12.40%,,,,,,,
,ADCY8,8q24,AMP,8.80%,,,,,,,
,ADIPOQ,3q27,AMP,2.90%,,,,,,,
,AGO2,8q24,AMP,11.20%,,,,,,,
,AGXT2,5p13,AMP,0.60%,,,,,,,
,AHSG,3q27,AMP,2.90%,,,,,,,
,AMER1,Xq11.2,AMP,10.00%,,,,,,,
,ANKRD18DP,3q29,AMP,3.50%,,,,,,,
,ANXA11,10q23,AMP,3.50%,,,,,,,
,ANXA13,8q24.13,AMP,11.20%,,,,,,,
,APOD,3q29,AMP,2.90%,,,,,,,
,AR,Xq12,AMP,25.90%,,,,,,,
,ARC,8q24.3,AMP,13.50%,,,,,,,
,ARHGAP39,8q24.3,AMP,12.40%,,,,,,,
,ARHGEF9,Xq11.1,AMP,9.40%,,,,,,,
,ASAP1,8q24.1-q24.2,AMP,8.80%,,,,,,,
,ASAP1-IT1,8q24.21,AMP,8.80%,,,,,,,
,ASB12,Xq11.2,AMP,10.00%,,,,,,,
,ATAD2,8q24.13,AMP,9.40%,,,,,,,
,ATP11B,3q27,AMP,4.70%,,,,,,,
,ATP13A3,3q29,AMP,3.50%,,,,,,,
,ATP13A4,3q29,AMP,3.50%,,,,,,,
,ATP13A5,3q29,AMP,3.50%,,,,,,,
,BAI1,8q24.3,AMP,13.50%,,,,,,,
,BCAP29,7q22.3,AMP,1.80%,,,,,,,
,BCL6,3q27,AMP,4.10%,,,,,,,
,BDH1,3q29,AMP,3.50%,,,,,,,
,BOP1,8q24.3,AMP,12.40%,,,,,,,
,BREA2,8q24.3,AMP,13.50%,,,,,,,
,BRIX1,5p13.2,AMP,0.60%,,,,,,,
,C10ORF99,10q23.1,AMP,1.80%,,,,,,,
,C3ORF22,3q21.3,AMP,4.10%,,,,,,,
,C3ORF43,3q29,AMP,3.50%,,,,,,,
,C3ORF65,3q27.2,AMP,2.90%,,,,,,,
,C3ORF70,3q27.2,AMP,2.90%,,,,,,,
,C5ORF42,5p13.2,AMP,0.60%,,,,,,,
,C8ORF31,8q24.3,AMP,12.40%,,,,,,,
,C8ORF33,8q24.3,AMP,12.40%,,,,,,,
,C8ORF76,8q24.13,AMP,9.40%,,,,,,,
,C8ORF82,8q24,AMP,12.40%,,,,,,,
,CAPSL,5p13.2,AMP,1.20%,,,,,,,
,CCDC166,8q24.3,AMP,13.50%,,,,,,,
,CCDC39,3q26.33,AMP,4.70%,,,,,,,
,CCDC50,3q28,AMP,3.50%,,,,,,,
,CCSER2,10q23.1,AMP,1.20%,,,,,,,
,CDHR1,10q23.1,AMP,1.80%,,,,,,,
,CEP19,3q29,AMP,3.50%,,,,,,,
,CHCHD6,3q21.3,AMP,2.90%,,,,,,,
,CHRAC1,8q24.3,AMP,11.20%,,,,,,,
,CHRD,3q27,AMP,2.90%,,,,,,,
,CHST13,3q21.3,AMP,4.10%,,,,,,,
,CLCN2,3q27.1,AMP,3.50%,,,,,,,
,CLDN1,3q28-q29,AMP,3.50%,,,,,,,
,CLDN11,3q26.2-q26.3,AMP,5.90%,,,,,,,
,CLDN16,3q28,AMP,3.50%,,,,,,,
,COG5,7q31,AMP,1.80%,,,,,,,
,COL14A1,8q23,AMP,5.90%,,,,,,,
,COL22A1,8q24.3,AMP,10.00%,,,,,,,
,COLEC10,8q23-q24.1,AMP,5.90%,,,,,,,
,COMMD5,8q24.3,AMP,12.40%,,,,,,,
,CPLX4,18q21.32,AMP,0.60%,,,,,,,
,CPN2,3q29,AMP,3.50%,,,,,,,
,CPSF1,8q24.23,AMP,12.40%,,,,,,,
,CRYGS,3q27.3,AMP,2.90%,,,,,,,
,CUX1,7q22.1,AMP,1.80%,,,,,,,
,CYC1,8q24.3,AMP,13.50%,,,,,,,
,CYHR1,8q24.3,AMP,12.40%,,,,,,,
,CYP11B1,8q21,AMP,13.50%,,,,,,,
,CYP11B2,8q21-q22,AMP,12.90%,,,,,,,
,DCUN1D1,3q26.3,AMP,4.70%,,,,,,,
,DENND3,8q24.3,AMP,13.50%,,,,,,,
,DEPTOR,8q24.12,AMP,5.90%,,,,,,,
,DERL1,8q24.13,AMP,9.40%,,,,,,,
,DGAT1,8q24.3,AMP,12.40%,,,,,,,
,DGKG,3q27.2-q27.3,AMP,2.90%,,,,,,,
,DLG1,3q29,AMP,3.50%,,,,,,,
,DLG5,10q23,AMP,4.70%,,,,,,,
,DNAJB11,3q27.3,AMP,2.90%,,,,,,,
,DNAJC19,3q26.33,AMP,3.50%,,,,,,,
,DNAJC21,5p13.2,AMP,0.60%,,,,,,,
,DSCC1,8q24.12,AMP,5.90%,,,,,,,
,DUS4L,7q22-q31,AMP,1.80%,,,,,,,
,DYDC1,10q23.1,AMP,2.40%,,,,,,,
,DYDC2,10q23.1,AMP,1.80%,,,,,,,
,ECT2,3q26.1-q26.2,AMP,4.70%,,,,,,,
,EDA2R,Xq12,AMP,24.70%,,,,,,,
,EEF1D,8q24.3,AMP,14.10%,,,,,,,
,EFR3A,8q24.22,AMP,10.60%,,,,,,,
,EGFEM1P,3q26.2,AMP,4.10%,,,,,,,
,EGFLAM,5p13.2-p13.1,AMP,0.60%,,,,,,,
,EGFLAM-AS4,5p13.2,AMP,0.60%,,,,,,,
,EHHADH,3q26.3-q28,AMP,2.90%,,,,,,,
,EIF3H,8q24.11,AMP,8.20%,,,,,,,
,EIF4A2,3q28,AMP,3.50%,,,,,,,
,EIF4G1,3q27.1,AMP,3.50%,,,,,,,
,EIF5A2,3q26.2,AMP,5.30%,,,,,,,
,EIF5AL1,10q22.3,AMP,3.50%,,,,,,,
,ENPP2,8q24.1,AMP,5.30%,,,,,,,
,EPHB3,3q27.1,AMP,3.50%,,,,,,,
,EPPK1,8q24.3,AMP,14.10%,,,,,,,
,ETV5,3q28,AMP,2.90%,,,,,,,
,EXOSC4,8q24.3,AMP,13.50%,,,,,,,
,EXT1,8q24.11,AMP,7.10%,,,,,,,
,FAM131A,3q27.1,AMP,3.50%,,,,,,,
,FAM135B,8q24.23,AMP,9.40%,,,,,,,
,FAM157A,3q29,AMP,3.50%,,,,,,,
,FAM203A,8q24.3,AMP,12.40%,,,,,,,
,FAM213A,10q23.1,AMP,3.50%,,,,,,,
,FAM43A,3q29,AMP,2.90%,,,,,,,
,FAM49B,8q24.21,AMP,7.60%,,,,,,,
,FAM83A,8q24.13,AMP,9.40%,,,,,,,
,FAM83H,8q24.3,AMP,13.50%,,,,,,,
,FAM84B,8q24.21,AMP,11.80%,,,,,,,
,FAM91A1,8q24.13,AMP,10.60%,,,,,,,
,FBXL6,8q24.3,AMP,12.40%,,,,,,,
,FBXO32,8q24.13,AMP,9.40%,,,,,,,
,FBXO45,3q29,AMP,3.50%,,,,,,,
,FER1L6,8q24.1,AMP,10.60%,,,,,,,
,FER1L6-AS1,8q24.13,AMP,10.60%,,,,,,,
,FETUB,3q27,AMP,2.90%,,,,,,,
,FGF12,3q28,AMP,3.50%,,,,,,,
,FLJ42393,3q27.3,AMP,3.50%,,,,,,,
,FLJ46066,3q26.33,AMP,4.10%,,,,,,,
,FNDC3B,3q26.31,AMP,4.70%,,,,,,,
,FOXH1,8q24.3,AMP,12.40%,,,,,,,
,FRMD8P1,Xq12,AMP,15.90%,,,,,,,
,FXR1,3q28,AMP,3.50%,,,,,,,
,FYTTD1,3q29,AMP,3.50%,,,,,,,
,GDNF,5p13.1-p12,AMP,0.60%,,,,,,,
,GHITM,10q23.1,AMP,1.80%,,,,,,,
,GHSR,3q26.31,AMP,5.30%,,,,,,,
,GLI4,8q24.3,AMP,11.80%,,,,,,,
,GML,8q24.3,AMP,13.50%,,,,,,,
,GMNC,3q28,AMP,3.50%,,,,,,,
,GNB4,3q26.33,AMP,4.10%,,,,,,,
,GOLIM4,3q26.2,AMP,4.10%,,,,,,,
,GP5,3q29,AMP,3.50%,,,,,,,
,GPAA1,8q24.3,AMP,13.50%,,,,,,,
,GPIHBP1,8q24.3,AMP,11.80%,,,,,,,
,GPR160,3q26.2-q27,AMP,5.90%,,,,,,,
,GPR20,8q24.3,AMP,14.70%,,,,,,,
,GPR22,7q22-q31.1,AMP,1.80%,,,,,,,
,GPT,8q24.3,AMP,12.40%,,,,,,,
,GRINA,8q24.3,AMP,14.10%,,,,,,,
,GSDMC,8q24.21,AMP,8.20%,,,,,,,
,GSDMD,8q24.3,AMP,14.10%,,,,,,,
,HAS2,8q24.12,AMP,7.10%,,,,,,,
,HAS2-AS1,8q24.13,AMP,8.20%,,,,,,,
,HEPH,Xq11-q12,AMP,19.40%,,,,,,,
,HES1,3q28-q29,AMP,3.50%,,,,,,,
,HHLA1,8q24,AMP,10.60%,,,,,,,
,HPYR1,8q24.22,AMP,10.60%,,,,,,,
,HRASLS,3q29,AMP,3.50%,,,,,,,
,HRG,3q27,AMP,2.90%,,,,,,,
,HSF1,8q24.3,AMP,12.40%,,,,,,,
,IGF2BP2,3q27.2,AMP,3.50%,,,,,,,
,IL1RAP,3q28,AMP,3.50%,,,,,,,
,IL7R,5p13,AMP,1.20%,,,,,,,
,IQCG,3q29,AMP,3.50%,,,,,,,
,JRK,8q24.3,AMP,13.50%,,,,,,,
,KCNK9,8q24.3,AMP,11.20%,,,,,,,
,KCNMA1,10q22.3,AMP,3.50%,,,,,,,
,KCNMB2,3q26.32,AMP,4.10%,,,,,,,
,KCNMB3,3q26.3-q27,AMP,4.10%,,,,,,,
,KCNQ3,8q24,AMP,10.00%,,,,,,,
,KDM6A,Xp11.2,AMP,3.50%,,,,,,,
,KHDRBS3,8q24.2,AMP,10.60%,,,,,,,
,KIAA0196,8q24.13,AMP,10.60%,,,,,,,
,KIAA0226,3q29,AMP,3.50%,,,,,,,
,KIAA1875,8q24.3,AMP,12.40%,,,,,,,
,KIFC2,8q24.3,AMP,12.40%,,,,,,,
,KLHL38,8q24.13,AMP,10.00%,,,,,,,
,KNG1,3q27,AMP,2.90%,,,,,,,
,LAS1L,Xq12,AMP,14.70%,,,,,,,
,LEPREL1,3q28,AMP,3.50%,,,,,,,
,LHFPL3,7q22.2,AMP,2.40%,,,,,,,
,LIFR,5p13-p12,AMP,0.60%,,,,,,,
,LILRB1,19q13.4,AMP,2.90%,,,,,,,
,LILRB4,19q13.4,AMP,1.80%,,,,,,,
,LINC00051,8q24.3,AMP,14.70%,,,,,,,
,LINC00536,8q23.3,AMP,7.10%,,,,,,,
,LIPH,3q27,AMP,3.50%,,,,,,,
,LMAN1,18q21.3-q22,AMP,0.60%,,,,,,,
,LMBRD2,5p13.2,AMP,1.20%,,,,,,,
,LMLN,3q29,AMP,3.50%,,,,,,,
,LOC100128164,3q26.2,AMP,5.90%,,,,,,,
,LOC100131635,3q27.3,AMP,4.10%,,,,,,,
,LOC100133669,8q24.3,AMP,12.90%,,,,,,,
,LOC100288181,8q24.3,AMP,13.50%,,,,,,,
,LOC100288974,10q22.3,AMP,3.50%,,,,,,,
,LOC100289561,7q22.1,AMP,1.80%,,,,,,,
,LOC100507391,3q29,AMP,2.90%,,,,,,,
,LOC100630923,7q22.1,AMP,1.80%,,,,,,,
,LOC220729,3q29,AMP,3.50%,,,,,,,
,LOC253573,3q27.3,AMP,2.90%,,,,,,,
,LOC286094,8q24.22,AMP,10.60%,,,,,,,
,LOC344887,3q27.2,AMP,2.90%,,,,,,,
,LOC642361,10q22.3,AMP,3.50%,,,,,,,
,LOC646719,5p13.2,AMP,0.60%,,,,,,,
,LOC647323,3q29,AMP,3.50%,,,,,,,
,LOC731779,8q24.3,AMP,14.70%,,,,,,,
,LPP,3q28,AMP,3.50%,,,,,,,
,LPP-AS2,3q27.3,AMP,3.50%,,,,,,,
,LRCH3,3q29,AMP,3.50%,,,,,,,
,LRIT1,10q23,AMP,1.80%,,,,,,,
,LRIT2,10q23.1,AMP,1.80%,,,,,,,
,LRRC14,8q24.3,AMP,12.40%,,,,,,,
,LRRC15,3q29,AMP,3.50%,,,,,,,
,LRRC24,8q24.3,AMP,12.40%,,,,,,,
,LRRC31,3q26.2,AMP,5.90%,,,,,,,
,LRRC34,3q26.2,AMP,5.90%,,,,,,,
,LRRC6,8q24.22,AMP,10.60%,,,,,,,
,LRRIQ4,3q26.2,AMP,5.90%,,,,,,,
,LSG1,3q29,AMP,2.90%,,,,,,,
,LY6D,8q24,AMP,13.50%,,,,,,,
,LY6E,8q24.3,AMP,12.90%,,,,,,,
,LY6H,8q24.3,AMP,11.80%,,,,,,,
,LY6K,8q24.3,AMP,13.50%,,,,,,,
,LYNX1,8q24.3,AMP,13.50%,,,,,,,
,LYPD2,8q24.3,AMP,13.50%,,,,,,,
,MAF1,8q24.3,AMP,12.40%,,,,,,,
,MAFA,8q24.3,AMP,13.50%,,,,,,,
,MAGEF1,3q13,AMP,3.50%,,,,,,,
,MAL2,8q23,AMP,5.90%,,,,,,,
,MAP3K13,3q27,AMP,2.90%,,,,,,,
,MAPK15,,AMP,13.50%,,,,,,,
,MASP1,3q27-q28,AMP,3.50%,,,,,,,
,MAT1A,10q22,AMP,3.50%,,,,,,,
,MB21D2,3q29,AMP,3.50%,,,,,,,
,MBL1P,10q22.3,AMP,3.50%,,,,,,,
,MCCC1,3q27,AMP,4.70%,,,,,,,
,MECOM,3q26.2,AMP,4.10%,,,,,,,
,MED30,8q24.11,AMP,7.10%,,,,,,,
,MFI2,3q28-q29,AMP,3.50%,,,,,,,
,MFI2-AS1,,AMP,3.50%,,,,,,,
,MFN1,3q26.33,AMP,4.10%,,,,,,,
,MFSD3,8q24.3,AMP,12.40%,,,,,,,
