TCGA-CH-5738,,,,,,,,,,,,
"Prostate Adenocarcinoma, Gleason 7",,,,,,,,,,,,
Primary,,,,,,,,,,,,
,CNBD1,8q21.3,AMP,98%,6.10%,,,,,,,
,CNGB3,8q21.3,AMP,64%,5.70%,,,,,,,
,CPNE3,8q21.3,AMP,68%,5.70%,,,,,,,
,EBLN2,3p13,HOMDEL,63%,2.80%,,,,,,,
,EIF4E3,3p14,HOMDEL,33%,4.90%,,,,,,,
,FOXP1,3p14.1,HOMDEL,33%,5.70%,,,,,,,
,GXYLT2,3p13,HOMDEL,90%,2.80%,,,,,,,
,MIR1284,,HOMDEL,NA,5.30%,,,,,,,
,MYO3B,2q31.1-q31.2,HOMDEL,49%,3.30%,,,,,,,
,PPP4R2,3p13,HOMDEL,44%,2.80%,,,,,,,
,RMDN1,8q21.3,AMP,39%,5.70%,,,,,,,
,RYBP,3p13,HOMDEL,24%,6.10%,,,,,,,
,SHQ1,3p13,HOMDEL,24%,4.50%,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
