MO_1124-Tumor,,,,,,
CRPC,,,,,,
bladder,,,,,,
,ADK,10q22|10q11-q24,HOMDEL,2%,0.60%,
,AP3M1,10q22.2,HOMDEL,2%,0.60%,
,ARL11,13q14.2,HOMDEL,NA,7.10%,
,ASPHD2,22q12.1,AMP,NA,1.20%,
,ATAD1,10q23.31,HOMDEL,2%,12.90%,
,ATP7B,13q14.3,HOMDEL,2%,2.90%,
,C10ORF55,10q22.2,HOMDEL,NA,0.60%,
,CAB39L,13q14.2,HOMDEL,2%,6.50%,
,CCDC70,13q14.3,HOMDEL,NA,2.90%,
,CDADC1,13q14.2,HOMDEL,2%,6.50%,
,CFL1P1,10q23.31,HOMDEL,NA,14.10%,
,CRYBA4,22q12.1,AMP,NA,1.20%,
,CRYBB1,22q12.1,AMP,NA,1.20%,
,CTAGE10P,13q14.2,HOMDEL,NA,7.10%,
,CYP26A1,10q23-q24,HOMDEL,6%,1.20%,
,CYP26C1,10q23.33,HOMDEL,NA,1.20%,
,CYSLTR2,13q14.2,HOMDEL,22%,6.50%,
,DHRS12,13q14.3,HOMDEL,2%,2.90%,
,DLEU1,13q14.3,HOMDEL,2%,5.30%,
,DLEU2,13q14.3,HOMDEL,2%,5.30%,
,DLEU7,13q14.3,HOMDEL,NA,5.30%,
,DUPD1,10q22.2,HOMDEL,NA,0.60%,
,DUSP13,10q22.2,HOMDEL,NA,0.60%,
,EBPL,13q12-q13,HOMDEL,2%,7.10%,
,ETNK2,1q32.1,AMP,94%,2.40%,
,EXOC6,10q23.33,HOMDEL,2%,0.60%,
,FAM124A,13q14.3,HOMDEL,2%,4.10%,
,FNDC3A,13q14.2,HOMDEL,2%,6.50%,
,GATSL2,7q11.23,AMP,72%,21.80%,
,GOLT1A,1q32.1,AMP,NA,2.40%,
,GTF2IRD2,7q11.23,AMP,96%,19.40%,
,GUCY1B2,13q14.3,HOMDEL,NA,5.30%,
,HPS4,22cen-q12.3,AMP,100%,1.20%,
,INTS6,13q14.3,HOMDEL,2%,3.50%,
,ITM2B,13q14.3,HOMDEL,2%,5.90%,
,KAT6B,10q22.2,HOMDEL,2%,0.60%,
,KCNRG,13q14.2,HOMDEL,NA,5.30%,
,KISS1,1q32,AMP,NA,2.40%,
,KLLN,10q23,HOMDEL,NA,14.10%,
,KPNA3,13q14.3,HOMDEL,2%,7.10%,
,LINC00282,13q14.3,HOMDEL,NA,2.90%,
,LINC00303,1q32.1,AMP,NA,2.40%,
,LPAR6,13q14,HOMDEL,2%,7.10%,
,MDM4,1q32,AMP,100%,2.40%,
,MIAT,22q12.1,AMP,NA,1.20%,
,MIR-3199-1/3199,,AMP,NA,1.20%,
,MIR-3199-2/3199,,AMP,NA,1.20%,
,MIR15A,13q14.2,HOMDEL,NA,5.30%,
,MIR16-1,13q14.2,HOMDEL,NA,5.30%,
,MIR3199-1,,AMP,NA,1.20%,
,MIR3199-2,,AMP,NA,1.20%,
,MIR3613,,HOMDEL,NA,5.30%,
,MIR4703,,HOMDEL,NA,2.90%,
,MIR548J,22q12.1,AMP,NA,1.20%,
,MLNR,13q14-q21,HOMDEL,NA,6.50%,
,MN1,22q12.1,AMP,56%,0.60%,
,NCF1,7q11.23,AMP,NA,21.20%,
,PHF11,13q14.2,HOMDEL,2%,7.10%,
,PIK3C2B,1q32,AMP,100%,2.40%,
,PITPNB,22q12.1,AMP,100%,1.20%,
,PLAU,10q22.2,HOMDEL,6%,0.60%,
,PLEKHA6,1q32.1,AMP,100%,2.40%,
,PMS2P5,7q11.23,AMP,88%,20.00%,
,PPP1R15B,1q32.1,AMP,100%,2.40%,
,PTEN,10q23.3,HOMDEL,4%,14.10%,
,RB1,13q14.2,HOMDEL,2%,6.50%,
,RCBTB1,13q14,HOMDEL,2%,7.10%,
,RCBTB2,13q14.3,HOMDEL,2%,7.10%,
,REN,1q32,AMP,NA,2.40%,
,RNASEH2B,13q14.3,HOMDEL,2%,5.30%,
,SAMD8,10q22.2,HOMDEL,2%,0.60%,
,SERPINE3,13q14.3,HOMDEL,NA,3.50%,
,SETDB2,13q14,HOMDEL,2%,7.10%,
,SEZ6L,22q12.1,AMP,58%,1.20%,
,SNRPE,1q32,AMP,100%,1.80%,
,SOX13,1q32,AMP,100%,2.40%,
,SPRYD7,13q14,HOMDEL,4%,6.50%,
,SRRD,22q12.1,AMP,100%,1.20%,
,ST13P4,13q14.3,HOMDEL,54%,5.30%,
,STAG3L2,7q11.23,AMP,NA,18.20%,
,TFIP11,22q12.1,AMP,100%,1.20%,
,TPST2,22q12.1,AMP,100%,1.20%,
,TRIM13,13q14,HOMDEL,2%,5.30%,
,TTC28,22q12.1,AMP,76%,1.20%,
,TTC28-AS1,22q12.1,AMP,100%,1.20%,
,VCL,10q22.2,HOMDEL,2%,0.60%,
,VDAC2,10q22,HOMDEL,2%,0.60%,
,WBSCR16,7q11.23,AMP,84%,20.60%,
,WDFY2,13q14.3,HOMDEL,2%,2.90%,
,ZC3H11A,1q32.1,AMP,100%,1.20%,
