P02-1562,,,,,,,
adenocarcinoma,,,,,,,
prostate,,,,,,,
,CDK11A,1p36.33,HOMDEL,0.90%,,,
,CDK11B,1p36.33,HOMDEL,0.90%,,,
,CES1P1,16q12.2,AMP,17.30%,,,
,CFHR1,1q32,HOMDEL,5.50%,,,
,FAM106A,17p11.2,HOMDEL,13.60%,,,
,GAL3ST2,2q37.3,AMP,7.30%,,,
,GSTT1,22q11.23,HOMDEL,12.70%,,,
,IGHV1-8,14q32.33,AMP,18.20%,,,
,IGHV2-10,14q32.33,AMP,21.80%,,,
,IGHV3-9,14q32.33,AMP,24.50%,,,
,LOC391322,22q11.23,HOMDEL,12.70%,,,
,LOC643373,5p13.2,HOMDEL,10.00%,,,
,LOC643784,5q13.2,HOMDEL,10.00%,,,
,LRRCC1,8q21.2,AMP,4.50%,,,
,PRSS3P2,7q34,AMP,16.40%,,,
,RHD,1p36.11,HOMDEL,11.80%,,,
,SCAPER,15q24,AMP,10.90%,,,
,SDHDP6,1p36.11,HOMDEL,15.50%,,,
,TRY7,7q34,AMP,14.50%,,,
,VAV2,9q34.1,AMP,5.50%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
