MO_1012-Subcut,,,,,,,,,,,,
CRPC,,,,,,,,,,,,
abdomen ,,,,,,,,,,,,
,AKIRIN2,6q15,HOMDEL,4.10%,,,,,,,,
,ANKRD6,6q14.2-q16.1,HOMDEL,5.90%,,,,,,,,
,ARHGAP12,10p11.22,HOMDEL,1.20%,,,,,,,,
,ATP8B3,19p13.3,HOMDEL,1.20%,,,,,,,,
,BACH2,6q15,HOMDEL,4.70%,,,,,,,,
,C11ORF71,11q23.2,HOMDEL,4.10%,,,,,,,,
,C1ORF68,1q21.3,AMP,6.50%,,,,,,,,
,C7ORF31,7p15.3,HOMDEL,1.20%,,,,,,,,
,C7ORF71,7p15.2,HOMDEL,1.20%,,,,,,,,
,CASP8AP2,6q15,HOMDEL,5.30%,,,,,,,,
,CBX3,7p15.2,HOMDEL,1.20%,,,,,,,,
,CDYL2,16q23.2,HOMDEL,7.10%,,,,,,,,
,CLYBL,13q32,AMP,0.60%,,,,,,,,
,CNR1,6q14-q15,HOMDEL,4.10%,,,,,,,,
,CRCT1,1q21,AMP,7.10%,,,,,,,,
,DOCK4,7q31.1,HOMDEL,0.60%,,,,,,,,
,DYNLRB2,16q23.3,HOMDEL,6.50%,,,,,,,,
,ERV3-1,7q11.2,AMP,2.90%,,,,,,,,
,EVX1,7p15.2,HOMDEL,0.60%,,,,,,,,
,GABRR1,6q15,HOMDEL,5.90%,,,,,,,,
,GABRR2,6q15,HOMDEL,5.90%,,,,,,,,
,GJA10,6q15-q16,HOMDEL,5.30%,,,,,,,,
,HNRNPA2B1,7p15,HOMDEL,1.20%,,,,,,,,
,HOTAIRM1,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOTTIP,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA1,7p15.3,HOMDEL,0.60%,,,,,,,,
,HOXA10,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA10-HOXA9,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA11,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA11-AS,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA13,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA2,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA3,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA4,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA5,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA6,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA7,7p15.2,HOMDEL,0.60%,,,,,,,,
,HOXA9,7p15.2,HOMDEL,0.60%,,,,,,,,
,IBSP,4q21.1,AMP,1.20%,,,,,,,,
,IPW,15q11.2,HOMDEL,2.90%,,,,,,,,
,KIAA0087,7p15.2,HOMDEL,1.20%,,,,,,,,
,KIF5B,10p11.22,HOMDEL,1.20%,,,,,,,,
,KLF16,19p13.3,HOMDEL,0.60%,,,,,,,,
,KPRP,1q21.3,AMP,6.50%,,,,,,,,
,LCE1B,1q21.3,AMP,6.50%,,,,,,,,
,LCE1C,1q21.3,AMP,6.50%,,,,,,,,
,LCE1D,1q21.3,AMP,6.50%,,,,,,,,
,LCE1E,1q21.3,AMP,6.50%,,,,,,,,
,LCE1F,1q21.3,AMP,6.50%,,,,,,,,
,LCE2A,1q21.3,AMP,6.50%,,,,,,,,
,LCE2B,1q21,AMP,6.50%,,,,,,,,
,LCE2C,1q21.3,AMP,6.50%,,,,,,,,
,LCE2D,1q21.3,AMP,6.50%,,,,,,,,
,LCE3A,1q21.3,AMP,6.50%,,,,,,,,
,LCE3B,1q21.3,AMP,6.50%,,,,,,,,
,LCE3C,1q21.3,AMP,6.50%,,,,,,,,
,LCE3D,1q21,AMP,6.50%,,,,,,,,
,LCE3E,1q21.3,AMP,6.50%,,,,,,,,
,LCE4A,1q21.3,AMP,6.50%,,,,,,,,
,LOC100288123,19p13.3,HOMDEL,1.20%,,,,,,,,
,LOC285696,5p15.1,HOMDEL,0.60%,,,,,,,,
,LOC441204,7p15.2,HOMDEL,1.20%,,,,,,,,
,LOC641746,7q11.21,AMP,2.90%,,,,,,,,
,LRRFIP2,3p22.2,HOMDEL,1.20%,,,,,,,,
,LRRN3,7q31.1,HOMDEL,0.60%,,,,,,,,
,LYRM2,6q15,HOMDEL,5.30%,,,,,,,,
,LYZL2,10p11.23,HOMDEL,1.20%,,,,,,,,
,MAP3K7,6q15,HOMDEL,4.10%,,,,,,,,
,MAP3K8,10p11.23,HOMDEL,1.80%,,,,,,,,
,MBD3,19p13.3,HOMDEL,1.80%,,,,,,,,
,MDN1,6q15,HOMDEL,5.30%,,,,,,,,
,MEX3D,19p13.3,HOMDEL,1.80%,,,,,,,,
,MIR-4306/4306,,AMP,0.60%,,,,,,,,
,MIR1304,,AMP,0.60%,,,,,,,,
,MIR148A,7p15.2,HOMDEL,1.20%,,,,,,,,
,MIR1909,19p13.3,HOMDEL,1.20%,,,,,,,,
,MIR196B,7p15.2,HOMDEL,0.60%,,,,,,,,
,MIR4306,,AMP,0.60%,,,,,,,,
,MIR4464,,HOMDEL,4.10%,,,,,,,,
,MLH1,3p21.3,HOMDEL,1.20%,,,,,,,,
,MYO10,5p15.1-p14.3,HOMDEL,0.60%,,,,,,,,
,NFE2L3,7p15.2,HOMDEL,1.20%,,,,,,,,
,NPVF,7p21-p15,HOMDEL,1.20%,,,,,,,,
,ONECUT3,19p13.3,HOMDEL,1.20%,,,,,,,,
,ORC3,6q14.3-q16.1,HOMDEL,4.10%,,,,,,,,
,PLK5,19p13.3,HOMDEL,1.80%,,,,,,,,
,PM20D2,6q15,HOMDEL,5.90%,,,,,,,,
,PNRC1,6q15,HOMDEL,4.10%,,,,,,,,
,RBM7,11q23.1-q23.2,HOMDEL,4.10%,,,,,,,,
,REXO1,19p13.3,HOMDEL,1.20%,,,,,,,,
,RNGTT,6q16,HOMDEL,4.10%,,,,,,,,
,RRAGD,6q15-q16,HOMDEL,5.90%,,,,,,,,
,SKAP2,7p15.2,HOMDEL,0.60%,,,,,,,,
,SNORA18,11q21,AMP,0.60%,,,,,,,,
,SNORA40,11q21,AMP,0.60%,,,,,,,,
,SNORD113-1,14q32.31,AMP,2.40%,,,,,,,,
,SNORD113-2,14q32.31,AMP,2.40%,,,,,,,,
,SNORD113-4,14q32.31,AMP,4.70%,,,,,,,,
,SNORD113-5,14q32.31,AMP,5.90%,,,,,,,,
,SNORD113-6,14q32.31,AMP,5.90%,,,,,,,,
,SNORD113-7,14q32.31,AMP,6.50%,,,,,,,,
,SNORD113-9,14q32.31,AMP,7.60%,,,,,,,,
,SNORD114-1,14q32,AMP,8.80%,,,,,,,,
,SNORD114-10,14q32,AMP,8.80%,,,,,,,,
,SNORD114-11,14q32,AMP,8.80%,,,,,,,,
,SNORD114-12,14q32,AMP,8.80%,,,,,,,,
,SNORD114-13,14q32,AMP,8.80%,,,,,,,,
,SNORD114-14,14q32,AMP,8.80%,,,,,,,,
,SNORD114-15,14q32,AMP,8.80%,,,,,,,,
,SNORD114-16,14q32,AMP,8.20%,,,,,,,,
,SNORD114-17,14q32,AMP,7.10%,,,,,,,,
,SNORD114-18,14q32,AMP,7.60%,,,,,,,,
,SNORD114-19,14q32,AMP,7.60%,,,,,,,,
,SNORD114-2,14q32,AMP,8.80%,,,,,,,,
,SNORD114-20,14q32,AMP,7.10%,,,,,,,,
,SNORD114-21,14q32,AMP,7.10%,,,,,,,,
,SNORD114-22,14q32,AMP,6.50%,,,,,,,,
,SNORD114-23,14q32,AMP,5.90%,,,,,,,,
,SNORD114-24,14q32,AMP,5.90%,,,,,,,,
,SNORD114-25,14q32,AMP,6.50%,,,,,,,,
,SNORD114-26,14q32,AMP,5.90%,,,,,,,,
,SNORD114-27,14q32,AMP,5.90%,,,,,,,,
,SNORD114-28,14q32,AMP,5.90%,,,,,,,,
,SNORD114-3,14q32,AMP,8.80%,,,,,,,,
,SNORD114-4,14q32,AMP,8.80%,,,,,,,,
,SNORD114-5,14q32,AMP,8.80%,,,,,,,,
,SNORD114-6,14q32,AMP,8.80%,,,,,,,,
,SNORD114-7,14q32,AMP,8.80%,,,,,,,,
,SNORD114-8,14q32,AMP,8.80%,,,,,,,,
,SNORD114-9,14q32,AMP,8.80%,,,,,,,,
,SNORD115-1,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-10,15q11.2,HOMDEL,3.50%,,,,,,,,
,SNORD115-11,15q11.2,HOMDEL,3.50%,,,,,,,,
,SNORD115-12,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-13,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-14,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-15,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-16,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-17,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-18,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-19,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-2,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-20,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-21,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-22,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-23,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-24,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-25,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-26,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-27,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-28,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-29,15q11.2,HOMDEL,3.50%,,,,,,,,
,SNORD115-3,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-30,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-31,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-32,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-33,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-34,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-35,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-36,15q11.2,HOMDEL,3.50%,,,,,,,,
,SNORD115-37,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-38,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-4,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-43,15q11.2,HOMDEL,3.50%,,,,,,,,
,SNORD115-5,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-6,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-7,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-8,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD115-9,15q11.2,HOMDEL,2.90%,,,,,,,,
,SNORD116-15,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-16,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-17,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-18,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-19,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-20,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-21,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-22,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-23,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-24,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-25,15q11.2,HOMDEL,4.70%,,,,,,,,
,SNORD116-26,15q11.2,HOMDEL,4.10%,,,,,,,,
,SNORD116-27,15q11.2,HOMDEL,4.10%,,,,,,,,
,SNORD116-28,15q11.2,HOMDEL,4.10%,,,,,,,,
,SNORD116-29,15q11.2,HOMDEL,3.50%,,,,,,,,
,SNORD5,11q21,AMP,0.60%,,,,,,,,
,SNX10,7p15.2,HOMDEL,1.20%,,,,,,,,
,SPACA1,6q15,HOMDEL,4.10%,,,,,,,,
,SRSF12,6q15,HOMDEL,5.90%,,,,,,,,
,TAF1D,11q21,AMP,0.60%,,,,,,,,
,TCF3,19p13.3,HOMDEL,1.20%,,,,,,,,
,UBE2J1,6q15,HOMDEL,5.90%,,,,,,,,
,UQCR11,19p13.3,HOMDEL,1.80%,,,,,,,,
,XAGE1B,Xp11.22,AMP,21.80%,,,,,,,,
,XAGE1E,Xp11.22,AMP,21.80%,,,,,,,,
,ZEB1,10p11.2,HOMDEL,1.20%,,,,,,,,
,ZEB1-AS1,10p11.22,HOMDEL,1.20%,,,,,,,,
,ZIC2,13q32,AMP,0.60%,,,,,,,,
,ZIC5,13q32.3,AMP,0.60%,,,,,,,,
,ZNF107,7q11.2,AMP,2.90%,,,,,,,,
,ZNF117,7q11.21,AMP,2.90%,,,,,,,,
,ZNF138,7q11.21,AMP,2.90%,,,,,,,,
,ZNF273,7q11.21,AMP,2.90%,,,,,,,,
,ZNF277,7q31.1,HOMDEL,0.60%,,,,,,,,
,ZNF438,10p11.23,HOMDEL,1.20%,,,,,,,,
,ZNF680,7q11.21,AMP,2.90%,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
